PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Karl Malone,24,82,82,3198,12.7,24.4,0.52,0.0,0.1,0.0,12.7,24.3,0.522,8.2,11.7,0.7,4.1,10.5,14.6,2.9,1.7,0.7,4.8,4.4,33.5,,107,101
John Stockton,25,82,79,2842,7.6,13.2,0.574,0.4,1.1,0.358,7.2,12.0,0.594,4.5,5.4,0.84,0.9,3.0,3.9,18.8,4.0,0.3,4.4,4.1,20.0,,125,102
Thurl Bailey,26,82,10,2804,10.7,21.7,0.49200000000000005,0.0,0.1,0.33299999999999996,10.7,21.6,0.493,5.7,6.9,0.826,2.3,6.7,9.0,2.7,0.8,2.1,3.2,3.1,27.0,,106,104
Mark Eaton,31,82,82,2731,3.9,9.4,0.418,0.0,0.0,,3.9,9.4,0.418,2.1,3.3,0.623,4.0,8.4,12.4,1.0,0.7,5.3,2.3,5.5,9.9,,94,101
Bob Hansen,27,81,51,1796,8.3,16.1,0.517,0.8,2.6,0.33,7.5,13.5,0.5529999999999999,3.0,4.0,0.743,1.7,3.2,4.9,4.6,1.7,0.1,2.4,5.1,20.5,,112,107
Marc Iavaroni,31,81,71,1238,5.5,11.8,0.46399999999999997,0.0,0.1,0.0,5.5,11.7,0.467,3.0,3.8,0.7879999999999999,3.6,6.6,10.2,2.6,0.9,1.0,3.2,6.2,13.9,,99,105
Rickey Green,33,81,3,1116,6.7,15.7,0.424,0.2,0.8,0.21100000000000002,6.5,14.9,0.436,3.2,3.5,0.904,0.6,2.8,3.4,12.7,2.4,0.0,4.0,3.5,16.6,,102,106
Darrell Griffith,29,52,11,1052,11.3,26.3,0.429,1.3,4.6,0.275,10.0,21.7,0.462,2.7,4.1,0.6409999999999999,1.6,4.1,5.7,4.1,2.3,0.2,3.0,4.6,26.5,,95,105
Melvin Turpin,27,79,0,1011,9.3,18.2,0.512,0.0,0.1,0.33299999999999996,9.3,18.1,0.513,3.3,4.6,0.7240000000000001,4.1,6.9,11.0,1.5,1.2,3.2,3.3,7.3,22.0,,103,102
Kelly Tripucka,28,49,21,976,6.7,14.7,0.45899999999999996,1.5,3.6,0.419,5.2,11.1,0.47200000000000003,2.9,3.3,0.868,1.5,4.2,5.7,5.1,1.6,0.2,3.3,3.3,17.8,,104,106
Carey Scurry,25,29,0,447,5.7,12.3,0.466,0.3,0.8,0.375,5.4,11.4,0.47200000000000003,2.9,4.1,0.6920000000000001,3.1,5.5,8.6,5.2,5.0,2.3,4.3,8.2,14.6,,95,96
Bart Kofoed,23,36,0,225,3.8,10.1,0.375,0.4,1.5,0.28600000000000003,3.4,8.6,0.39,1.7,2.7,0.615,0.8,2.3,3.2,4.8,1.3,0.2,3.8,8.8,9.7,,80,108
Scott Roth,24,26,0,201,7.1,17.4,0.405,0.5,2.6,0.182,6.6,14.8,0.444,5.2,7.1,0.733,1.6,4.9,6.6,3.8,2.8,0.0,2.6,8.7,19.8,,100,103
Eddie Hughes,27,11,0,42,5.6,14.6,0.385,1.1,6.8,0.16699999999999998,4.5,7.9,0.5710000000000001,6.8,6.8,1.0,3.4,1.1,4.5,9.0,0.0,0.0,6.8,5.6,19.1,,99,112
Darryl Dawkins,31,4,0,26,1.8,12.7,0.14300000000000002,0.0,0.0,,1.8,12.7,0.14300000000000002,7.3,21.8,0.33299999999999996,3.6,5.5,9.1,1.8,0.0,1.8,7.3,18.2,10.9,,50,107
