Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,5,1567,CHI,Chicago Bulls,Michael Jordan,24,10,10,427,138,260,0.53,1,3,0.33,137,257,0.53,0.53,86,99,0.87,23,48,71,47,24,11,39,38,363
1988,5,2181,CHI,Chicago Bulls,Charles Oakley,24,10,10,373,40,91,0.44,0,2,0.0,40,89,0.45,0.44,21,24,0.88,39,89,128,32,6,4,18,33,101
1988,5,611,CHI,Chicago Bulls,Dave Corzine,31,10,10,308,27,76,0.36,0,0,,27,76,0.36,0.36,7,13,0.54,15,42,57,8,3,8,12,21,61
1988,5,1083,CHI,Chicago Bulls,Horace Grant,22,10,0,299,46,81,0.57,0,1,0.0,46,80,0.57,0.57,9,15,0.6,25,45,70,16,14,2,7,35,101
1988,5,2313,CHI,Chicago Bulls,Scottie Pippen,22,10,6,294,46,99,0.46,3,6,0.5,43,93,0.46,0.48,5,7,0.71,24,28,52,24,8,8,26,33,100
1988,5,2973,CHI,Chicago Bulls,Sam Vincent,24,10,10,251,41,110,0.37,0,3,0.0,41,107,0.38,0.37,20,25,0.8,6,13,19,44,8,1,27,23,102
1988,5,2265,CHI,Chicago Bulls,John Paxson,27,10,0,165,20,53,0.38,2,12,0.17,18,41,0.44,0.4,4,4,1.0,0,4,4,30,1,1,5,24,46
1988,5,2594,CHI,Chicago Bulls,Brad Sellers,25,10,4,144,15,43,0.35,0,0,,15,43,0.35,0.35,15,17,0.88,10,11,21,8,2,5,5,18,45
1988,5,2723,CHI,Chicago Bulls,Rory Sparrow,29,7,0,106,10,32,0.31,2,4,0.5,8,28,0.29,0.34,4,6,0.67,0,3,3,18,4,0,4,11,26
1988,5,2923,CHI,Chicago Bulls,Elston Turner,28,4,0,29,1,6,0.17,0,0,,1,6,0.17,0.17,0,0,,1,4,5,6,0,0,1,2,2
1988,5,390,CHI,Chicago Bulls,Mike Brown,24,1,0,4,0,0,,0,0,,0,0,,,1,2,0.5,0,0,0,1,1,0,0,0,1
