TEAM,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,eFG%,TOV%,TOV%,ORB%,FT/FGA,FT/FGA,eFG%,eFG%,TOV%,TOV%,DRB%,FT/FGA,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
BOS,29.3,67.0,15.0,63,19,9.41,-0.36,9.06,111.8,102.6,9.2,101.2,0.31,0.05,0.56,0.52,0.47,14.1,13.0,31.3,0.24,0.22,0.52,0.47,14.1,13.0,71.7,0.24,0.22,Boston Garden,610571,14890
MIL,26.0,57.0,25.0,62,20,9.04,-0.35,8.69,111.4,102.7,8.7,102.1,0.37,0.05,0.55,0.5,0.47,13.9,16.6,33.8,0.28,0.28,0.5,0.47,13.9,16.6,67.4,0.28,0.28,MECCA Arena,443064,10451
LAL,28.1,62.0,20.0,59,23,7.74,-0.91,6.84,113.3,105.8,7.5,102.7,0.32,0.06,0.57,0.53,0.48,14.9,13.5,33.1,0.25,0.24,0.53,0.48,14.9,13.5,69.8,0.25,0.24,The Forum,691071,16839
ALT,25.3,50.0,32.0,47,35,2.37,0.22,2.59,107.9,105.6,2.3,100.0,0.38,0.02,0.54,0.49,0.48,15.3,15.4,34.9,0.28,0.27,0.49,0.48,15.3,15.4,66.7,0.28,0.27,Omni Coliseum,377351,9334
PHI,28.0,54.0,28.0,47,35,2.35,0.11,2.46,108.6,106.3,2.3,100.5,0.4,0.03,0.55,0.49,0.5,16.1,15.6,37.3,0.3,0.21,0.49,0.5,16.1,15.6,66.7,0.3,0.21,The Spectrum,513459,9803
HOU,26.0,51.0,31.0,48,34,2.61,-0.51,2.1,110.1,107.6,2.5,103.5,0.32,0.04,0.54,0.5,0.5,13.6,14.8,35.5,0.23,0.24,0.5,0.5,13.6,14.8,67.2,0.23,0.24,The Summit,604644,13513
DET,26.5,46.0,36.0,44,38,1.17,0.27,1.44,109.0,107.9,1.1,104.2,0.3,0.02,0.53,0.49,0.5,13.3,14.9,33.5,0.23,0.27,0.49,0.5,13.3,14.9,67.6,0.23,0.27,Pontiac Silverdome,695233,16384
DEN,28.1,47.0,35.0,44,38,1.3,-0.42,0.89,107.1,105.9,1.2,106.7,0.31,0.04,0.53,0.48,0.5,13.0,16.9,30.9,0.24,0.27,0.48,0.5,13.0,16.9,64.1,0.24,0.27,McNichols Sports Arena,531824,12610
DAL,25.8,44.0,38.0,44,38,1.1,-0.4,0.7,112.1,111.0,1.1,102.2,0.36,0.06,0.56,0.51,0.51,13.3,13.0,30.0,0.28,0.2,0.51,0.51,13.3,13.0,66.8,0.28,0.2,Reunion Arena,693052,16776
POR,26.6,40.0,42.0,44,38,1.06,-0.45,0.61,109.2,108.2,1.0,104.5,0.38,0.04,0.55,0.5,0.51,15.2,16.4,32.8,0.29,0.28,0.5,0.51,15.2,16.4,66.3,0.29,0.28,Memorial Coliseum,519306,12666
SEA,26.6,31.0,51.0,41,41,-0.1,-0.37,-0.47,105.9,106.0,-0.1,97.4,0.33,0.04,0.53,0.48,0.49,15.1,15.7,33.2,0.26,0.28,0.48,0.49,15.1,15.7,68.7,0.26,0.28,Seattle Center Coliseum,329296,9374
UTA,26.2,42.0,40.0,40,42,-0.37,-0.3,-0.67,104.2,104.6,-0.4,103.3,0.38,0.02,0.54,0.49,0.48,15.5,15.4,29.8,0.27,0.26,0.49,0.48,15.5,15.4,67.2,0.27,0.26,Salt Palace,477833,11030
WAB,27.1,39.0,43.0,36,46,-1.8,0.53,-1.28,103.0,104.8,-1.8,99.1,0.32,0.06,0.52,0.47,0.47,14.2,14.2,29.1,0.24,0.22,0.47,0.47,14.2,14.2,66.1,0.24,0.22,Capital Centre,373802,8465
NJN,27.5,39.0,43.0,36,46,-1.99,0.6,-1.39,105.0,106.9,-1.9,103.3,0.33,0.03,0.54,0.49,0.5,15.9,15.5,33.3,0.25,0.28,0.49,0.5,15.9,15.5,70.6,0.25,0.28,Brendan Byrne Arena,482854,11777
SAS,27.8,35.0,47.0,36,46,-1.85,-0.2,-2.06,106.5,108.2,-1.7,103.8,0.36,0.03,0.56,0.51,0.5,16.5,15.2,31.7,0.26,0.26,0.51,0.5,16.5,15.2,67.6,0.26,0.26,HemisFair Arena,336369,6967
CLE,27.0,29.0,53.0,34,48,-2.87,0.68,-2.19,105.5,108.3,-2.8,101.6,0.32,0.05,0.54,0.49,0.48,14.6,13.6,30.3,0.24,0.29,0.49,0.48,14.6,13.6,68.5,0.24,0.29,Coliseum at Richfield,391842,10450
IND,25.0,26.0,56.0,32,50,-3.33,0.67,-2.66,102.6,105.9,-3.3,100.9,0.3,0.02,0.52,0.48,0.48,15.7,13.7,31.5,0.23,0.28,0.48,0.48,15.7,13.7,71.3,0.23,0.28,Market Square Arena,460969,13168
CHI,26.6,30.0,52.0,31,51,-3.8,0.69,-3.12,108.6,112.4,-3.8,99.7,0.35,0.04,0.54,0.49,0.51,14.7,13.5,35.1,0.27,0.28,0.49,0.51,14.7,13.5,67.4,0.27,0.28,Chicago Stadium,469226,11445
PHO,26.3,32.0,50.0,33,49,-2.99,-0.17,-3.16,104.3,107.2,-2.9,104.8,0.38,0.03,0.55,0.51,0.5,17.7,15.1,31.3,0.28,0.28,0.51,0.5,17.7,15.1,68.3,0.28,0.28,Arizona Veterans Memorial Coliseum,455763,10826
SAC,26.6,37.0,45.0,33,49,-3.07,-0.12,-3.19,106.2,109.2,-3.0,102.0,0.32,0.02,0.54,0.49,0.5,15.7,14.4,32.7,0.25,0.27,0.49,0.5,15.7,14.4,67.5,0.25,0.27,ARCO Arena (I),423653,10333
GSW,26.8,30.0,52.0,33,49,-3.45,-0.14,-3.59,108.3,111.6,-3.3,104.2,0.33,0.04,0.54,0.49,0.52,13.9,14.9,33.5,0.25,0.24,0.49,0.52,13.9,14.9,66.7,0.25,0.24,Oakland-Alameda County Coliseum Arena,401205,10901
NYK,25.5,23.0,59.0,26,56,-5.61,0.79,-4.82,99.5,105.2,-5.7,98.6,0.32,0.03,0.5,0.47,0.48,15.2,17.1,29.5,0.22,0.32,0.47,0.48,15.2,17.1,65.0,0.22,0.32,Madison Square Garden (IV),592484,14452
LAC,27.0,32.0,50.0,24,58,-6.93,0.1,-6.83,105.4,112.1,-6.7,102.7,0.37,0.03,0.53,0.48,0.51,15.3,14.0,32.0,0.29,0.22,0.48,0.51,15.3,14.0,64.0,0.29,0.22,Los Angeles Memorial Sports Arena,337814,7663
