Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2016,2,BOS,Boston Celtics,Isaiah Thomas,26,6,6,220,10.4,26.4,0.4,2.9,10.2,0.28,7.5,16.2,0.47,8.4,10.4,0.81,0.4,3.6,4.0,6.7,0.9,1.1,3.1,4.0,32.2,,104,104
2016,2,BOS,Boston Celtics,Evan Turner,27,6,4,214,7.1,19.4,0.36,0.7,3.2,0.21,6.4,16.2,0.39,3.2,4.1,0.78,1.8,5.9,7.8,6.2,1.8,1.4,3.9,4.3,18.0,,86,100
2016,2,BOS,Boston Celtics,Jae Crowder,25,6,6,197,5.0,17.8,0.28,2.5,10.2,0.24,2.5,7.7,0.32,1.7,2.7,0.64,1.2,8.4,9.7,3.2,2.2,0.7,1.7,4.2,14.1,,80,99
2016,2,BOS,Boston Celtics,Marcus Smart,21,6,1,193,5.6,15.2,0.37,2.8,8.1,0.34,2.8,7.1,0.39,4.3,5.3,0.81,2.0,4.8,6.8,4.6,2.5,1.3,3.8,4.3,18.2,,97,99
2016,2,BOS,Boston Celtics,Jonas Jerebko,28,6,4,162,6.6,13.9,0.48,2.1,6.6,0.32,4.5,7.2,0.62,1.2,1.5,0.8,2.1,10.2,12.4,3.0,0.6,1.2,1.5,4.5,16.6,,111,101
2016,2,BOS,Boston Celtics,Amir Johnson,28,6,6,134,8.0,12.0,0.67,0.0,0.7,0.0,8.0,11.3,0.71,2.6,3.3,0.78,4.0,11.7,15.7,1.5,0.4,2.9,3.6,4.7,18.6,,112,98
2016,2,BOS,Boston Celtics,Terry Rozier,21,5,0,99,4.4,11.3,0.39,2.0,5.4,0.36,2.5,5.9,0.42,1.0,1.0,1.0,1.5,6.9,8.4,3.0,0.5,1.5,1.0,2.5,11.8,,105,103
2016,2,BOS,Boston Celtics,Jared Sullinger,23,6,2,81,7.8,25.3,0.31,1.2,2.4,0.5,6.6,22.9,0.29,1.8,2.4,0.75,6.0,10.2,16.3,4.2,0.6,0.0,3.6,9.6,18.7,,79,102
2016,2,BOS,Boston Celtics,R.J. Hunter,22,5,0,41,2.4,10.7,0.22,1.2,6.0,0.2,1.2,4.8,0.25,0.0,0.0,,1.2,6.0,7.1,3.6,0.0,1.2,1.2,3.6,6.0,,70,105
2016,2,BOS,Boston Celtics,Tyler Zeller,26,3,0,38,9.0,19.3,0.47,0.0,0.0,,9.0,19.3,0.47,5.1,7.7,0.67,5.1,14.1,19.3,2.6,0.0,2.6,2.6,1.3,23.1,,103,98
2016,2,BOS,Boston Celtics,Avery Bradley,25,1,1,33,10.4,23.7,0.44,1.5,10.4,0.14,8.9,13.3,0.67,4.4,4.4,1.0,3.0,1.5,4.4,1.5,1.5,1.5,1.5,3.0,26.6,,105,103
2016,2,BOS,Boston Celtics,Kelly Olynyk,24,4,0,32,1.5,13.7,0.11,0.0,4.6,0.0,1.5,9.2,0.17,0.0,0.0,,3.1,3.1,6.1,4.6,1.5,0.0,6.1,7.6,3.1,,36,104
2016,2,BOS,Boston Celtics,Jordan Mickey,21,2,0,10,9.8,19.5,0.5,0.0,0.0,,9.8,19.5,0.5,0.0,0.0,,4.9,4.9,9.8,9.8,0.0,4.9,0.0,0.0,19.5,,124,100
2016,2,BOS,Boston Celtics,James Young,20,3,0,10,4.9,14.6,0.33,0.0,4.9,0.0,4.9,9.8,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.9,4.9,9.8,,49,109
2016,2,BOS,Boston Celtics,John Holland,27,1,0,1,0.0,48.8,0.0,0.0,48.8,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,110
