PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Malcolm Brogdon,27,4,160,18.9,0.556,0.369,0.431,0.0,12.8,6.2,41.8,1.2,0.0,11.5,25.1,,0.3,0.0,0.4,0.109,,3.5,-0.8,2.6,0.2
T.J. Warren,26,4,156,15.1,0.556,0.27899999999999997,0.132,3.7,15.4,9.4,13.9,2.9,0.6,13.3,24.4,,0.0,0.1,0.1,0.025,,-0.4,0.0,-0.4,0.1
Myles Turner,23,4,146,18.6,0.617,0.318,0.364,8.6,26.3,17.2,3.5,0.7,11.1,15.0,18.9,,0.1,0.2,0.3,0.084,,0.4,1.4,1.8,0.1
Justin Holiday,30,4,131,10.7,0.65,0.762,0.14300000000000002,3.5,10.1,6.7,3.3,2.3,3.9,11.8,8.9,,0.1,0.1,0.2,0.06,,-0.2,1.3,1.1,0.1
Victor Oladipo,27,4,123,12.8,0.563,0.589,0.28600000000000003,0.0,12.7,6.2,14.0,3.6,0.0,18.2,28.8,,-0.2,0.1,-0.1,-0.028999999999999998,,-1.4,0.7,-0.7,0.0
Aaron Holiday,23,4,72,16.0,0.6679999999999999,0.429,0.23800000000000002,1.6,6.7,4.1,23.4,2.8,0.0,14.7,17.4,,0.1,0.0,0.2,0.10800000000000001,,0.2,1.4,1.6,0.1
Doug McDermott,28,4,54,-0.6,0.33299999999999996,0.667,0.0,0.0,6.7,3.3,2.7,0.9,0.0,6.3,13.6,,-0.2,0.0,-0.2,-0.142,,-5.5,-4.4,-9.9,-0.1
JaKarr Sampson,26,4,50,14.2,0.625,0.0,0.0,2.3,28.8,15.2,14.3,2.0,0.0,11.1,16.6,,0.1,0.0,0.1,0.08900000000000001,,-2.7,1.9,-0.8,0.0
Edmond Sumner,24,3,41,-1.4,0.381,0.429,0.28600000000000003,2.8,14.6,8.6,0.0,0.0,0.0,20.2,11.1,,-0.1,0.0,-0.1,-0.113,,-9.7,-3.3,-12.9,-0.1
T.J. McConnell,27,3,28,6.4,0.39399999999999996,0.0,0.25,0.0,25.7,12.5,38.3,0.0,0.0,18.4,17.9,,0.0,0.0,0.0,-0.055999999999999994,,-6.2,-2.9,-9.1,-0.1
Alize Johnson,23,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,-4.2,-2.9,-7.1,0.0
