Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996,1,ATL,Atlanta Hawks,Mookie Blaylock,28,10,10,426,5.2,12.3,0.42,2.8,7.1,0.39,2.4,5.2,0.46,1.4,2.0,0.67,1.1,2.5,3.6,5.4,1.9,0.7,2.5,1.3,14.5,266
1996,1,ATL,Atlanta Hawks,Steve Smith,26,10,10,421,6.4,14.6,0.44,2.1,5.2,0.41,4.3,9.4,0.46,3.6,4.4,0.81,1.3,2.2,3.5,2.7,1.1,1.1,1.4,2.7,18.6,2703
1996,1,ATL,Atlanta Hawks,Grant Long,29,10,10,362,4.4,11.0,0.4,0.6,2.4,0.25,3.8,8.7,0.44,2.0,2.5,0.8,3.0,5.6,8.6,2.8,0.7,0.3,1.9,2.7,11.3,1769
1996,1,ATL,Atlanta Hawks,Christian Laettner,26,10,10,334,6.4,13.1,0.48,0.1,0.3,0.33,6.3,12.8,0.49,4.1,5.8,0.7,2.9,4.5,7.4,1.6,1.3,1.1,2.3,4.4,16.9,1676
1996,1,ATL,Atlanta Hawks,Stacey Augmon,27,10,10,314,4.0,8.3,0.49,0.0,0.1,0.0,4.0,8.1,0.49,3.8,4.6,0.82,1.0,3.1,4.1,3.1,1.3,0.7,1.9,3.0,11.8,118
1996,1,ATL,Atlanta Hawks,Craig Ehlo,34,9,0,171,2.5,8.6,0.29,1.5,4.8,0.3,1.1,3.8,0.28,1.1,1.5,0.71,0.2,3.6,3.8,1.9,1.9,0.4,1.9,2.9,7.6,838
1996,1,ATL,Atlanta Hawks,Alan Henderson,23,10,0,145,5.7,9.9,0.57,0.0,0.0,,5.7,9.9,0.57,1.7,2.5,0.7,4.2,2.5,6.7,1.7,0.2,1.0,2.2,5.0,13.2,1247
1996,1,ATL,Atlanta Hawks,Sean Rooks,26,10,0,140,4.1,7.2,0.57,0.0,0.0,,4.1,7.2,0.57,3.3,5.4,0.62,3.3,3.6,6.9,1.8,1.0,1.0,2.3,9.0,11.6,2504
1996,1,ATL,Atlanta Hawks,Reggie Jordan,28,10,0,59,4.3,7.9,0.54,0.0,0.0,,4.3,7.9,0.54,1.8,4.3,0.43,0.6,3.1,3.7,5.5,3.1,0.6,1.8,4.3,10.4,1568
1996,1,ATL,Atlanta Hawks,Matt Bullard,28,4,0,51,2.8,8.5,0.33,2.8,5.6,0.5,0.0,2.8,0.0,1.4,2.8,0.5,0.0,4.2,4.2,0.0,0.0,1.4,1.4,4.2,9.9,419
1996,1,ATL,Atlanta Hawks,Donnie Boyce,22,1,0,2,0.0,36.0,0.0,0.0,36.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315
