Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996.0,27.0,1466,SAS,San Antonio Spurs,Avery Johnson,30.0,10.0,10.0,407.0,4.6,10.7,0.43,0.0,0.2,0.0,4.6,10.5,0.44,1.7,2.4,0.7,0.5,2.7,3.2,8.3,1.8,0.1,2.1,1.9,10.9
,,1767,,,Brad Lohaus,,,,,,,,,,,,,,,,,,,,,,,,,
1996.0,27.0,1269,SAS,San Antonio Spurs,Carl Herrera,29.0,7.0,0.0,28.0,0.0,3.9,0.0,0.0,0.0,,0.0,3.9,0.0,2.6,2.6,1.0,2.6,2.6,5.1,1.3,2.6,1.3,3.9,9.0,2.6
1996.0,27.0,2668,SAS,San Antonio Spurs,Charles Smith,30.0,10.0,8.0,165.0,5.2,10.5,0.5,0.0,0.0,,5.2,10.5,0.5,0.7,1.7,0.38,2.4,5.7,8.1,2.2,1.5,2.2,1.7,6.1,11.1
1996.0,27.0,2290,SAS,San Antonio Spurs,Chuck Person,31.0,10.0,0.0,284.0,5.2,9.8,0.53,3.2,6.0,0.53,2.0,3.8,0.53,1.8,2.2,0.82,0.6,4.4,5.1,2.0,0.3,0.4,1.4,4.1,15.3
1996.0,27.0,37,SAS,San Antonio Spurs,Cory Alexander,22.0,9.0,0.0,70.0,5.1,12.3,0.42,0.5,2.6,0.2,4.6,9.8,0.47,2.6,3.6,0.71,2.1,2.6,4.6,4.6,1.0,0.0,3.1,4.1,13.4
1996.0,27.0,2471,SAS,San Antonio Spurs,David Robinson,30.0,10.0,10.0,353.0,8.5,16.4,0.52,0.0,0.0,,8.5,16.4,0.52,7.1,10.7,0.67,3.8,6.5,10.3,2.4,1.5,2.5,2.4,3.9,24.1
,,730,,,Dell Demps,,,,,,,,,,,,,,,,,,,,,,,,,
1996.0,27.0,2455,SAS,San Antonio Spurs,Doc Rivers,34.0,2.0,0.0,20.0,1.8,5.4,0.33,1.8,3.6,0.5,0.0,1.8,0.0,0.0,0.0,,0.0,1.8,1.8,0.0,0.0,0.0,1.8,5.4,5.4
1996.0,27.0,73,SAS,San Antonio Spurs,Greg Anderson,31.0,6.0,0.0,34.0,0.0,5.3,0.0,0.0,0.0,,0.0,5.3,0.0,1.1,2.1,0.5,2.1,7.4,9.5,0.0,2.1,1.1,4.2,5.3,1.1
,,2421,,,J.R. Reid,,,,,,,,,,,,,,,,,,,,,,,,,
1996.0,27.0,3165,SAS,San Antonio Spurs,Monty Williams,24.0,7.0,0.0,29.0,2.5,11.2,0.22,0.0,0.0,,2.5,11.2,0.22,3.7,7.4,0.5,3.7,5.0,8.7,0.0,0.0,0.0,5.0,5.0,8.7
1996.0,27.0,847,SAS,San Antonio Spurs,Sean Elliott,27.0,10.0,10.0,389.0,4.3,10.8,0.4,0.9,3.1,0.29,3.4,7.7,0.45,4.7,5.9,0.8,1.0,2.6,3.6,2.3,1.0,0.4,2.8,2.2,14.3
1996.0,27.0,721,SAS,San Antonio Spurs,Vinny Del Negro,29.0,10.0,10.0,379.0,5.4,11.8,0.46,1.5,2.6,0.59,3.9,9.2,0.42,1.2,1.8,0.68,0.4,2.1,2.5,2.8,1.2,0.3,0.6,1.8,13.6
1996.0,27.0,2282,SAS,San Antonio Spurs,Will Perdue,30.0,10.0,2.0,242.0,4.3,6.2,0.69,0.0,0.0,,4.3,6.2,0.69,2.4,3.0,0.8,3.9,7.9,11.8,0.7,0.3,0.6,1.6,3.6,11.0
