Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996.0,11.0,1531,HOU,Houston Rockets,Charles Jones,38.0,3.0,0.0,8.0,0.0,4.5,0.0,0.0,0.0,,0.0,4.5,0.0,0.0,0.0,,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0
1996.0,11.0,372,HOU,Houston Rockets,Chucky Brown,27.0,8.0,8.0,168.0,5.4,9.6,0.56,0.0,0.0,,5.4,9.6,0.56,3.2,3.9,0.83,1.3,3.9,5.1,1.1,0.6,0.0,0.9,3.6,13.9
1996.0,11.0,786,HOU,Houston Rockets,Clyde Drexler,33.0,8.0,8.0,292.0,6.0,14.5,0.42,1.1,4.2,0.26,4.9,10.4,0.48,3.2,4.2,0.76,1.8,5.8,7.6,4.9,2.6,0.5,2.5,2.7,16.4
1996.0,11.0,2408,HOU,Houston Rockets,Eldridge Recasner,28.0,1.0,0.0,8.0,0.0,13.5,0.0,0.0,4.5,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,4.5,4.5,9.0,0.0,0.0,4.5,0.0,0.0
1996.0,11.0,2198,HOU,Houston Rockets,Hakeem Olajuwon,33.0,8.0,8.0,329.0,8.2,16.1,0.51,0.0,0.1,0.0,8.2,16.0,0.51,3.2,4.4,0.72,1.9,6.1,8.0,3.4,1.6,1.9,3.2,3.1,19.6
1996.0,11.0,2688,HOU,Houston Rockets,Kenny Smith,30.0,8.0,8.0,191.0,4.3,10.0,0.43,2.3,5.8,0.39,2.1,4.1,0.5,2.5,2.5,1.0,0.8,1.5,2.3,7.2,0.9,0.0,1.5,2.6,13.4
1996.0,11.0,842,HOU,Houston Rockets,Mario Elie,32.0,8.0,0.0,233.0,4.5,10.2,0.44,1.4,3.7,0.38,3.1,6.5,0.48,1.7,1.9,0.92,0.9,2.5,3.4,2.2,1.1,0.5,0.8,2.6,12.1
1996.0,11.0,409,HOU,Houston Rockets,Mark Bryant,30.0,8.0,0.0,145.0,5.2,8.7,0.6,0.0,0.0,,5.2,8.7,0.6,3.0,3.7,0.8,1.7,5.0,6.7,1.0,0.2,0.5,0.7,5.2,13.4
1996.0,11.0,526,HOU,Houston Rockets,Pete Chilcutt,27.0,1.0,0.0,10.0,3.6,14.4,0.25,0.0,3.6,0.0,3.6,10.8,0.33,0.0,7.2,0.0,7.2,3.6,10.8,0.0,0.0,0.0,3.6,0.0,7.2
1996.0,11.0,1329,HOU,Houston Rockets,Robert Horry,25.0,8.0,8.0,308.0,4.3,10.6,0.41,2.5,6.2,0.4,1.9,4.4,0.42,1.2,2.7,0.44,1.8,4.9,6.7,2.8,2.5,1.5,1.8,3.4,12.3
1996.0,11.0,497,HOU,Houston Rockets,Sam Cassell,26.0,8.0,0.0,206.0,4.5,14.2,0.32,1.4,5.1,0.28,3.1,9.1,0.35,4.0,5.1,0.79,0.2,2.8,3.0,5.9,1.0,0.2,3.1,3.5,14.5
1996.0,11.0,1799,HOU,Houston Rockets,Sam Mack,25.0,6.0,0.0,47.0,3.8,11.5,0.33,1.5,6.9,0.22,2.3,4.6,0.5,0.0,2.3,0.0,0.0,6.9,6.9,0.8,0.8,0.0,1.5,0.8,9.2
