SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2017,14,LAL,Jordan Clarkson,24,82,19,2397,9.7,21.8,0.44,2.4,7.2,0.33,7.3,14.5,0.5,2.7,3.4,0.8,1.0,4.0,5.0,4.3,1.8,0.2,3.3,3.0,24.5,,102,115
2017,14,LAL,Brandon Ingram,19,79,40,2279,5.9,14.7,0.4,1.2,4.0,0.29,4.7,10.7,0.44,2.8,4.6,0.62,1.3,5.5,6.8,3.5,1.1,0.8,2.5,3.4,15.8,,96,115
2017,14,LAL,Julius Randle,22,74,73,2132,8.6,17.7,0.49,0.4,1.4,0.27,8.2,16.2,0.51,4.7,6.4,0.72,3.4,11.1,14.5,6.0,1.1,0.8,4.0,5.7,22.3,,107,112
2017,14,LAL,D'Angelo Russell,20,63,60,1811,9.4,23.3,0.4,3.6,10.3,0.35,5.8,13.0,0.45,4.0,5.1,0.78,0.8,5.1,5.9,8.2,2.3,0.4,4.7,3.5,26.5,,101,113
2017,14,LAL,Nick Young,31,60,60,1556,8.5,19.8,0.43,5.3,13.2,0.4,3.2,6.6,0.48,2.4,2.8,0.86,0.8,3.5,4.3,1.8,1.2,0.4,1.1,4.3,24.8,,118,116
2017,14,LAL,Luol Deng,31,56,49,1486,5.4,13.9,0.39,1.7,5.4,0.31,3.7,8.5,0.44,1.5,2.1,0.73,2.1,7.6,9.7,2.4,1.6,0.7,1.4,2.0,13.9,,101,113
2017,14,LAL,Larry Nance,24,63,7,1442,6.4,12.2,0.53,0.3,1.2,0.28,6.1,11.0,0.55,2.0,2.7,0.74,4.1,8.4,12.5,3.2,2.8,1.3,1.9,5.0,15.2,,117,109
2017,14,LAL,Lou Williams,30,58,1,1403,11.3,25.5,0.44,4.2,11.0,0.38,7.1,14.5,0.49,10.6,11.9,0.88,0.5,4.1,4.6,6.4,2.3,0.4,4.2,2.3,37.4,,118,114
2017,14,LAL,Timofey Mozgov,30,54,52,1104,7.5,14.5,0.52,0.0,0.0,0.0,7.5,14.4,0.52,2.8,3.4,0.81,4.6,7.1,11.7,1.9,0.7,1.4,3.2,5.9,17.7,,106,114
2017,14,LAL,Tarik Black,25,67,16,1091,6.7,13.1,0.51,0.0,0.1,0.5,6.7,13.0,0.51,3.7,4.9,0.75,6.4,8.9,15.3,1.7,1.3,2.0,2.6,7.7,17.1,,114,111
2017,14,LAL,Ivica Zubac,19,38,11,609,10.1,19.0,0.53,0.0,0.2,0.0,10.1,18.8,0.54,2.6,3.9,0.65,3.3,9.4,12.7,2.4,1.1,2.6,2.4,5.3,22.7,,108,110
2017,14,LAL,Thomas Robinson,25,48,1,560,9.1,17.1,0.54,0.0,0.1,0.0,9.1,17.0,0.54,2.7,5.7,0.47,7.3,12.1,19.4,2.7,2.3,0.8,4.0,6.6,21.0,,105,109
2017,14,LAL,David Nwaba,24,20,2,397,5.8,9.9,0.58,0.1,0.6,0.2,5.6,9.3,0.6,3.1,4.8,0.64,2.1,5.6,7.7,1.7,1.6,0.9,1.4,4.4,14.7,,121,114
2017,14,LAL,Tyler Ennis,22,22,2,392,8.1,17.9,0.45,2.6,6.7,0.39,5.5,11.2,0.49,2.4,2.7,0.86,0.6,2.6,3.2,6.5,2.4,0.2,2.6,3.6,21.1,,111,114
2017,14,LAL,Corey Brewer,30,24,3,358,7.2,16.5,0.44,0.7,3.3,0.21,6.5,13.2,0.5,2.4,3.3,0.75,1.5,5.6,7.1,4.9,3.3,1.1,2.6,3.9,17.6,,101,110
2017,14,LAL,JosA CalderAn,35,24,11,292,5.3,12.8,0.42,2.0,5.7,0.35,3.3,7.2,0.46,0.7,0.7,1.0,1.3,5.7,7.0,8.5,1.2,0.2,4.3,3.7,13.3,,98,115
2017,14,LAL,Marcelo Huertas,33,23,1,237,5.1,14.0,0.37,0.8,3.9,0.21,4.3,10.1,0.43,1.9,3.5,0.53,0.4,4.5,4.9,10.7,2.1,0.4,3.9,3.3,13.0,,92,114
2017,14,LAL,Metta World Peace,37,25,2,160,5.8,20.7,0.28,2.7,11.6,0.24,3.0,9.1,0.33,3.0,4.9,0.62,1.5,4.6,6.1,3.3,3.0,0.6,2.1,5.5,17.4,,84,111
