Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2009.0,23.0,1376,PHI,Philadelphia 76Ers,Andre Iguodala,25.0,6.0,269.0,18.0,0.55,0.29,0.47,2.9,14.7,8.9,27.3,2.2,0.0,16.9,25.7,0.2,0.2,0.4,0.08,3.9,0.6,4.5,0.4
2009.0,23.0,1987,PHI,Philadelphia 76Ers,Andre Miller,32.0,6.0,258.0,18.1,0.55,0.1,0.34,4.5,13.9,9.3,23.7,1.5,0.3,14.1,25.4,0.3,0.2,0.5,0.09,2.6,-0.2,2.4,0.3
2009.0,23.0,1843,PHI,Philadelphia 76Ers,Donyell Marshall,35.0,6.0,50.0,5.3,0.5,0.69,0.0,0.0,17.3,8.8,0.0,1.1,1.8,11.1,17.5,-0.1,0.0,0.0,-0.01,-3.2,-1.4,-4.6,0.0
,,333,,,Elton Brand,,,,,,,,,,,,,,,,,,,,,,,
,,2531,,,Kareem Rush,,,,,,,,,,,,,,,,,,,,,,,
2009.0,23.0,3157,PHI,Philadelphia 76Ers,Lou Williams,22.0,6.0,149.0,10.9,0.5,0.31,0.29,1.7,10.8,6.3,20.1,1.1,0.6,17.2,22.7,-0.1,0.1,0.0,-0.01,-0.1,-1.4,-1.5,0.0
2009.0,23.0,2724,PHI,Philadelphia 76Ers,Marreese Speights,21.0,3.0,29.0,10.9,0.51,0.0,0.57,13.2,12.8,13.0,0.0,0.0,0.0,0.0,14.7,0.1,0.0,0.1,0.11,-1.3,-3.6,-4.9,0.0
2009.0,23.0,880,PHI,Philadelphia 76Ers,Reggie Evans,28.0,5.0,36.0,5.5,0.32,0.0,0.44,7.1,27.5,17.5,0.0,4.5,0.0,15.7,17.2,-0.1,0.1,0.0,-0.06,-5.4,0.4,-5.0,0.0
2009.0,23.0,1391,PHI,Philadelphia 76Ers,Royal Ivey,27.0,6.0,45.0,7.1,0.43,0.64,0.36,2.8,8.2,5.6,0.0,3.6,0.0,0.0,13.8,0.0,0.0,0.0,0.04,-3.2,2.0,-1.2,0.0
2009.0,23.0,660,PHI,Philadelphia 76Ers,Samuel Dalembert,27.0,6.0,133.0,15.2,0.65,0.0,0.16,9.6,34.4,22.2,3.8,0.8,6.0,18.3,12.0,0.2,0.2,0.4,0.14,-1.0,3.3,2.2,0.1
2009.0,23.0,3262,PHI,Philadelphia 76Ers,Thaddeus Young,20.0,6.0,229.0,9.9,0.5,0.17,0.09,5.0,9.7,7.4,6.1,1.4,0.4,9.9,17.1,0.0,0.1,0.1,0.03,-0.4,-0.7,-1.1,0.1
2009.0,23.0,2400,PHI,Philadelphia 76Ers,Theo Ratliff,35.0,6.0,94.0,9.2,0.78,0.0,0.36,8.2,22.4,15.4,0.0,0.6,3.8,23.9,8.7,0.1,0.1,0.2,0.11,-4.2,2.2,-2.0,0.0
2009.0,23.0,1116,PHI,Philadelphia 76Ers,Willie Green,27.0,6.0,148.0,5.0,0.45,0.22,0.06,0.0,5.0,2.5,8.3,0.0,0.6,8.7,18.8,-0.2,0.0,-0.2,-0.05,-3.0,-2.3,-5.4,-0.1
