NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
21,Patrick Beverley,SG,6-1,180,1988-07-12,US,5,Arkansas
11,Avery Bradley,SG,6-3,180,1990-11-26,US,7,Texas
7,Sam Dekker,PF,6-9,230,1994-05-06,US,2,Wisconsin
1,Jawun Evans,PG,6-0,185,1996-07-26,US,R,Oklahoma State
8,Danilo Gallinari,SF,6-10,233,1988-08-08,IT,8,
32,Blake Griffin,PF,6-9,250,1989-03-16,US,7,Oklahoma
5,Montrezl Harrell,C,6-7,240,1994-01-26,US,2,Louisville
34,Tobias Harris,PF,6-8,226,1992-07-15,US,6,Tennessee
11,Brice Johnson,PF,6-10,230,1994-06-27,US,1,UNC
33,Wesley Johnson,SF,6-7,215,1987-07-11,US,7,"Iowa State, Syracuse"
6,DeAndre Jordan,C,6-11,265,1988-07-21,US,9,Texas A&M
2,Sean Kilpatrick,SG,6-4,210,1990-01-06,US,3,Cincinnati
51,Boban Marjanović,C,7-4,290,1988-08-15,RS,2,
35,Willie Reed,C,6-10,220,1990-05-16,US,2,Saint Louis
25,Austin Rivers,SG,6-3,200,1992-08-01,US,5,Duke
4,Miloš Teodosić,PG,6-5,196,1987-03-19,RS,R,
0,Sindarius Thornwell,SG,6-5,215,1994-11-15,US,R,South Carolina
12,Tyrone Wallace,PG,6-5,198,1994-06-10,US,R,California
9,C.J. Williams,SG,6-5,226,1990-02-06,US,R,NC State
23,Lou Williams,SG,6-1,175,1986-10-27,US,12,
13,Jamil Wilson,SF,6-7,230,1990-11-21,US,R,"Oregon, Marquette"
