PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Paul Pierce,27,82,82,36.1,6.8,14.9,0.455,1.3,3.6,0.37,5.5,11.4,0.48100000000000004,0.499,6.7,8.1,0.8220000000000001,1.0,5.6,6.6,4.2,1.6,0.5,2.8,3.1,21.6
Antoine Walker,28,24,24,34.5,6.7,15.2,0.442,1.0,3.0,0.342,5.7,12.1,0.467,0.47700000000000004,1.8,3.3,0.557,2.3,5.9,8.3,3.0,1.0,1.1,2.9,2.9,16.3
Gary Payton,36,77,77,33.0,4.4,9.4,0.46799999999999997,0.5,1.7,0.326,3.9,7.7,0.498,0.49700000000000005,2.0,2.6,0.7609999999999999,0.6,2.4,3.1,6.1,1.1,0.2,1.9,1.6,11.3
Ricky Davis,25,82,11,32.9,5.9,12.7,0.462,0.7,2.2,0.33899999999999997,5.1,10.5,0.488,0.491,3.5,4.3,0.815,0.8,2.2,3.0,3.0,1.1,0.3,2.5,2.1,16.0
Raef LaFrentz,28,80,80,27.5,4.3,8.6,0.496,1.0,2.8,0.364,3.2,5.8,0.5589999999999999,0.555,1.5,1.9,0.8109999999999999,1.9,5.0,6.9,1.2,0.5,1.2,0.9,3.3,11.1
Mark Blount,29,82,57,26.0,4.0,7.5,0.529,0.0,0.0,0.0,4.0,7.5,0.53,0.529,1.4,2.0,0.713,1.7,3.1,4.8,1.6,0.4,0.8,1.9,2.8,9.4
Justin Reed,25,55,32,20.5,2.5,5.8,0.428,0.6,1.8,0.32299999999999995,1.9,4.0,0.475,0.478,2.0,2.6,0.773,0.4,2.2,2.5,1.5,0.7,0.1,1.1,1.9,7.5
Tony Allen,23,77,34,16.4,2.4,5.0,0.475,0.2,0.4,0.387,2.2,4.6,0.483,0.491,1.5,2.0,0.737,1.1,1.8,2.9,0.8,1.0,0.3,1.0,2.0,6.4
Al Jefferson,20,71,1,14.8,2.7,5.2,0.528,0.0,0.0,0.0,2.7,5.2,0.5329999999999999,0.528,1.2,1.9,0.63,1.7,2.7,4.4,0.3,0.3,0.8,0.9,2.7,6.7
Marcus Banks,23,81,2,14.1,1.4,3.5,0.402,0.3,0.7,0.35600000000000004,1.2,2.8,0.414,0.439,1.5,2.0,0.742,0.4,1.2,1.6,1.9,0.8,0.2,1.0,1.8,4.6
Delonte West,21,39,7,13.0,1.7,4.0,0.426,0.6,1.7,0.358,1.1,2.3,0.47700000000000004,0.503,0.5,0.7,0.7040000000000001,0.4,1.3,1.7,1.4,0.5,0.2,0.6,1.8,4.5
Walter McCarty,30,44,0,12.6,1.4,3.4,0.413,0.7,2.0,0.33299999999999996,0.7,1.4,0.5329999999999999,0.513,0.2,0.3,0.5329999999999999,0.5,1.3,1.8,0.6,0.3,0.2,0.4,1.9,3.7
Tom Gugliotta,35,20,0,10.9,0.6,1.9,0.297,0.0,0.0,,0.6,1.9,0.297,0.297,0.2,0.3,0.667,0.8,1.4,2.2,0.6,0.5,0.2,0.5,1.2,1.3
Kendrick Perkins,20,60,3,9.1,0.9,2.0,0.47100000000000003,0.0,0.0,,0.9,2.0,0.47100000000000003,0.47100000000000003,0.6,1.0,0.638,0.9,2.1,2.9,0.4,0.2,0.6,0.7,1.6,2.5
Justin Reed,23,23,0,5.3,0.7,1.3,0.517,0.0,0.1,0.0,0.7,1.1,0.5770000000000001,0.517,0.5,0.7,0.733,0.3,0.3,0.7,0.4,0.1,0.0,0.2,0.5,1.8
