PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Latrell Sprewell,23,82,82,3533,6.2,14.4,0.433,1.4,4.0,0.361,4.8,10.5,0.46,3.6,4.6,0.774,0.8,3.3,4.1,3.9,1.8,0.8,2.3,1.6,17.5
Billy Owens,24,79,72,2738,6.5,12.8,0.507,0.0,0.2,0.2,6.4,12.6,0.512,2.6,4.3,0.61,3.0,5.4,8.4,4.3,1.1,0.8,2.8,3.5,15.6
Chris Webber,20,76,76,2438,8.4,15.3,0.552,0.0,0.2,0.0,8.4,15.1,0.5589999999999999,2.8,5.2,0.532,4.5,5.7,10.2,4.0,1.4,2.4,3.0,3.6,19.7
Avery Johnson,28,82,70,2332,5.5,11.2,0.49200000000000005,0.0,0.2,0.0,5.5,11.0,0.5,2.7,3.9,0.7040000000000001,0.6,2.1,2.7,6.7,1.7,0.1,2.7,2.5,13.7
Chris Mullin,30,62,39,2324,6.4,13.5,0.47200000000000003,0.9,2.3,0.364,5.5,11.1,0.494,2.6,3.4,0.753,1.0,4.4,5.3,4.9,1.7,0.8,2.8,1.8,16.1
Victor Alexander,24,69,39,1318,7.3,13.7,0.53,0.1,0.4,0.154,7.2,13.4,0.54,1.9,3.5,0.527,3.1,5.3,8.4,1.8,0.8,0.9,2.3,4.6,16.4
Chris Gatling,26,82,23,1296,7.5,12.8,0.588,0.0,0.0,0.0,7.5,12.8,0.589,3.6,5.8,0.62,4.0,7.1,11.0,1.1,1.1,1.7,2.3,6.2,18.6
Keith Jennings,25,76,2,1097,4.5,11.2,0.40399999999999997,1.8,5.0,0.371,2.7,6.3,0.429,3.3,3.9,0.833,0.5,2.4,2.9,7.2,2.1,0.0,2.4,2.0,14.2
Jeff Grayer,28,67,4,1096,6.3,11.9,0.526,0.1,0.4,0.16699999999999998,6.2,11.5,0.5379999999999999,2.3,3.9,0.602,2.5,3.8,6.3,2.0,1.1,0.4,2.1,3.4,14.9
Byron Houston,24,71,2,866,3.4,7.4,0.45799999999999996,0.0,0.3,0.14300000000000002,3.3,7.1,0.47100000000000003,1.4,2.2,0.611,2.8,5.3,8.1,1.3,1.4,1.3,2.0,7.5,8.1
Josh Grant,26,53,0,382,5.6,13.8,0.40399999999999997,1.6,5.7,0.27899999999999997,4.0,8.0,0.494,2.1,2.7,0.759,2.5,5.8,8.4,2.3,1.7,0.8,2.8,5.8,14.8
Jud Buechler,25,36,0,218,6.9,13.9,0.5,2.0,4.8,0.414,5.0,9.1,0.545,1.7,3.3,0.5,2.1,3.1,5.3,2.6,1.3,0.2,2.0,4.0,17.5
Andre Spencer,29,5,1,63,5.1,10.3,0.5,0.0,0.0,,5.1,10.3,0.5,1.7,2.3,0.75,2.3,4.6,6.9,1.7,0.6,1.1,1.1,3.4,12.0
Todd Lichti,27,5,0,58,6.2,17.4,0.35700000000000004,1.2,1.2,1.0,5.0,16.1,0.308,5.6,6.8,0.818,1.9,4.3,6.2,1.9,0.0,0.0,0.0,5.6,19.2
Dell Demps,23,2,0,11,6.5,19.6,0.33299999999999996,0.0,0.0,,6.5,19.6,0.33299999999999996,0.0,6.5,0.0,0.0,0.0,0.0,3.3,6.5,0.0,3.3,3.3,13.1
Tod Murphy,30,2,0,10,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,3.6,3.6,3.6,0.0,0.0,0.0,7.2,0.0
