PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Antonio McDyess,24,50,50,1937,11.4,24.2,0.47100000000000003,0.0,0.2,0.111,11.3,23.9,0.474,6.3,9.3,0.68,4.6,10.1,14.7,2.2,2.0,3.2,3.8,4.8,29.1,,103,105
Nick Van Exel,27,50,50,1802,9.0,22.6,0.39799999999999996,2.1,6.9,0.308,6.9,15.8,0.43700000000000006,4.2,5.2,0.8109999999999999,0.4,2.9,3.3,10.8,1.2,0.1,3.6,2.7,24.3,,105,115
Chauncey Billups,22,45,41,1488,6.8,17.7,0.386,3.0,8.4,0.36200000000000004,3.8,9.3,0.408,5.6,6.1,0.9129999999999999,0.9,2.6,3.4,6.2,2.1,0.5,3.5,4.1,22.3,,109,113
Danny Fortson,22,50,38,1417,7.2,14.5,0.495,0.0,0.1,0.0,7.2,14.3,0.499,6.3,8.6,0.727,7.9,13.9,21.8,1.2,1.2,0.8,2.9,7.9,20.6,,115,106
Bryant Stith,28,46,32,1194,5.1,12.9,0.39299999999999996,1.4,4.7,0.292,3.7,8.2,0.451,2.7,3.2,0.8590000000000001,1.3,3.4,4.8,3.6,1.2,0.7,2.0,2.9,14.2,,104,114
Eric Williams,26,38,8,780,5.4,14.9,0.365,0.4,1.8,0.231,5.0,13.1,0.38299999999999995,7.6,9.5,0.799,2.3,3.2,5.5,2.5,1.8,0.5,3.3,5.2,18.8,,99,113
Cory Alexander,25,36,4,778,6.6,17.7,0.373,2.0,7.2,0.28600000000000003,4.6,10.6,0.43200000000000005,2.5,3.0,0.841,0.5,4.6,5.0,8.1,2.4,0.3,4.7,5.3,17.8,,92,111
Eric Washington,24,38,6,761,5.1,12.8,0.397,2.6,6.8,0.381,2.5,6.1,0.414,1.5,2.2,0.688,2.4,3.8,6.2,2.1,1.7,1.3,2.4,6.1,14.3,,102,112
Johnny Taylor,24,36,9,724,6.0,14.5,0.414,1.9,5.0,0.382,4.1,9.5,0.431,1.2,1.7,0.7390000000000001,2.2,5.2,7.4,1.8,2.1,1.2,2.5,7.1,15.2,,97,110
Keon Clark,23,28,0,409,4.7,10.4,0.45,0.0,0.1,0.0,4.7,10.2,0.456,2.7,4.8,0.568,4.7,7.8,12.5,1.3,1.3,4.0,2.7,6.7,12.1,,97,107
Raef LaFrentz,22,12,12,387,8.1,17.7,0.457,1.6,4.3,0.387,6.4,13.4,0.48,4.9,6.6,0.75,4.5,8.0,12.5,1.1,1.2,2.3,1.2,5.2,22.8,,119,109
Carl Herrera,32,24,0,265,5.4,12.6,0.429,0.0,0.2,0.0,5.4,12.4,0.435,1.0,1.8,0.556,4.0,6.8,10.8,0.2,2.4,1.4,2.4,7.6,11.8,,89,108
Loren Meyer,26,14,0,70,5.3,21.2,0.25,0.8,3.8,0.2,4.5,17.4,0.261,0.8,1.5,0.5,3.0,9.1,12.1,0.8,0.0,2.3,3.0,16.7,12.1,,62,110
Monty Williams,27,1,0,6,0.0,17.7,0.0,0.0,0.0,,0.0,17.7,0.0,8.8,17.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,,44,120
Kelly McCarty,23,2,0,4,26.5,39.8,0.667,0.0,0.0,,26.5,39.8,0.667,0.0,0.0,,26.5,13.3,39.8,0.0,0.0,0.0,26.5,0.0,53.1,,81,110
Tyson Wheeler,23,1,0,3,17.7,17.7,1.0,17.7,17.7,1.0,0.0,0.0,,17.7,35.4,0.5,0.0,0.0,0.0,35.4,0.0,0.0,0.0,17.7,70.7,,220,119
