PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Shawn Marion,28,80,3010,20.8,0.594,0.235,0.23199999999999998,7.0,22.6,15.2,6.7,2.6,2.8,8.8,19.3,,6.7,5.3,12.0,0.191,,2.4,1.9,4.4,4.8
Raja Bell,30,78,2917,12.0,0.562,0.522,0.16,2.0,7.7,5.0,9.5,0.9,0.5,7.5,17.0,,4.2,1.6,5.8,0.095,,0.5,-0.6,-0.1,1.4
Amar'e Stoudemire,24,82,2689,23.1,0.637,0.003,0.555,10.1,23.3,17.0,5.0,1.5,2.9,15.0,25.8,,7.2,4.0,11.2,0.201,,1.5,0.3,1.8,2.6
Steve Nash,32,76,2682,23.8,0.654,0.353,0.254,1.4,9.9,5.8,50.1,1.1,0.2,21.0,22.9,,10.8,1.7,12.6,0.225,,6.7,-0.8,5.9,5.3
Leandro Barbosa,24,80,2613,18.4,0.595,0.39399999999999996,0.209,1.0,8.1,4.8,18.7,1.8,0.4,10.7,23.4,,6.1,2.1,8.2,0.151,,2.6,0.1,2.7,3.1
Boris Diaw,24,73,2268,13.0,0.57,0.079,0.21100000000000002,4.9,11.0,8.1,21.7,0.6,1.2,19.9,15.4,,3.0,1.5,4.6,0.09699999999999999,,0.3,0.2,0.4,1.4
James Jones,26,76,1376,10.8,0.51,0.541,0.184,2.9,11.5,7.5,4.5,1.0,2.1,5.6,16.5,,1.0,1.2,2.2,0.077,,-0.5,-0.2,-0.6,0.5
Kurt Thomas,34,67,1208,11.4,0.531,0.004,0.27399999999999997,8.7,26.9,18.3,2.7,1.0,1.7,10.8,12.1,,1.2,1.7,2.9,0.115,,-2.1,0.4,-1.7,0.1
Marcus Banks,25,45,503,11.3,0.49700000000000005,0.14800000000000002,0.306,2.4,6.2,4.4,17.4,2.3,0.4,15.2,23.5,,-0.1,0.4,0.4,0.037000000000000005,,-3.7,0.1,-3.6,-0.2
Jalen Rose,34,29,246,13.4,0.5920000000000001,0.547,0.14,1.5,9.0,5.4,9.3,1.0,0.6,9.0,18.3,,0.4,0.2,0.6,0.111,,1.3,-0.1,1.2,0.2
Pat Burke,33,23,164,9.3,0.424,0.33799999999999997,0.2,9.0,23.7,16.7,4.3,0.9,0.9,9.0,21.3,,-0.1,0.2,0.1,0.015,,-3.9,-2.1,-6.0,-0.2
Jumaine Jones,27,18,138,3.2,0.386,0.627,0.039,5.3,13.7,9.7,1.0,1.8,0.5,11.9,19.2,,-0.3,0.1,-0.2,-0.061,,-6.2,-1.3,-7.5,-0.2
Eric Piatkowski,36,11,73,7.7,0.522,0.72,0.08,3.4,10.6,7.2,7.5,0.0,1.0,16.2,19.0,,0.0,0.0,0.0,0.006999999999999999,,-1.3,-2.2,-3.5,0.0
Sean Marks,31,3,17,6.7,0.436,0.16699999999999998,0.33299999999999996,0.0,19.6,10.3,0.0,0.0,4.1,0.0,18.2,,0.0,0.0,0.0,0.043,,-7.5,-0.6,-8.1,0.0
