PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Gilbert Arenas,24,80,80,3384,7.9,17.7,0.447,2.1,5.7,0.369,5.8,12.0,0.485,7.0,8.5,0.82,0.6,2.4,3.0,5.1,1.7,0.3,3.2,3.0,25.0
Antawn Jamison,29,82,80,3288,7.2,16.4,0.442,1.6,4.1,0.39399999999999996,5.6,12.3,0.45799999999999996,2.4,3.3,0.731,1.8,6.5,8.4,1.7,1.0,0.1,1.5,2.1,18.4
Caron Butler,25,75,54,2708,6.6,14.4,0.455,0.5,1.6,0.342,6.0,12.8,0.469,3.8,4.4,0.87,1.5,4.7,6.2,2.5,1.7,0.2,2.3,3.2,17.5
Antonio Daniels,30,80,17,2283,3.6,8.7,0.418,0.4,1.6,0.228,3.3,7.1,0.461,4.5,5.3,0.845,0.3,2.4,2.7,4.5,0.8,0.1,1.4,1.5,12.1
Jared Jeffries,24,77,77,1951,3.5,7.7,0.451,0.3,0.9,0.32,3.2,6.7,0.46799999999999997,1.8,3.1,0.589,3.0,4.0,7.0,2.7,1.1,0.9,1.8,4.1,9.0
Brendan Haywood,26,79,70,1879,4.3,8.3,0.514,0.0,0.0,,4.3,8.3,0.514,2.5,4.3,0.585,3.8,5.1,8.9,0.9,0.6,2.0,1.9,4.4,11.0
Etan Thomas,27,71,9,1121,4.2,7.9,0.5329999999999999,0.0,0.0,,4.2,7.9,0.5329999999999999,2.4,4.0,0.6,3.2,5.8,9.0,0.4,0.6,2.2,1.6,4.8,10.8
Michael Ruffin,29,76,4,1010,1.2,2.7,0.442,0.0,0.1,0.0,1.2,2.7,0.45299999999999996,1.3,2.6,0.5,4.3,5.3,9.7,1.0,1.2,1.1,1.4,6.4,3.7
Chucky Atkins,31,28,2,552,4.3,11.3,0.379,2.2,6.0,0.359,2.2,5.3,0.402,1.4,2.0,0.71,0.8,2.2,2.9,4.5,0.9,0.0,2.0,3.8,12.2
Jarvis Hayes,24,21,13,516,5.4,12.8,0.42100000000000004,1.2,3.3,0.36200000000000004,4.2,9.5,0.441,1.7,2.1,0.833,1.3,4.0,5.3,1.9,1.1,0.1,1.5,2.7,13.7
Donell Taylor,23,51,1,465,4.1,10.5,0.39,0.3,1.3,0.235,3.8,9.2,0.41200000000000003,2.3,3.3,0.698,1.2,2.9,4.1,3.5,2.3,0.3,2.6,3.6,10.8
Calvin Booth,29,33,2,250,2.9,6.8,0.426,0.1,0.3,0.5,2.7,6.5,0.42200000000000004,0.7,1.3,0.556,2.7,4.8,7.5,1.7,1.3,1.3,1.2,6.3,6.6
Andray Blatche,19,29,0,175,5.3,13.8,0.38799999999999996,0.6,2.7,0.231,4.7,11.1,0.426,2.1,2.5,0.833,2.5,5.3,7.8,2.1,1.0,1.4,2.5,7.4,13.4
Billy Thomas,30,17,0,131,3.6,11.0,0.325,2.7,8.2,0.33299999999999996,0.8,2.7,0.3,0.5,0.5,1.0,1.4,2.5,3.8,2.5,2.7,0.3,1.6,5.2,10.4
Awvee Storey,28,25,1,116,5.0,12.7,0.39,0.9,2.2,0.429,4.0,10.6,0.382,2.5,4.3,0.5710000000000001,2.5,4.3,6.8,1.2,0.9,0.3,1.6,6.8,13.3
