SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1989,14,LAL,33,Kareem Abdul-Jabbar,C,7-2,225,1947-04-16,US,19,UCLA
1989,14,LAL,19,Tony Campbell,SF,6-7,215,1962-05-07,US,4,Ohio State
1989,14,LAL,21,Michael Cooper,SG,6-5,170,1956-04-15,US,10,New Mexico
1989,14,LAL,45,A.C. Green,PF,6-9,220,1963-10-04,US,3,Oregon State
1989,14,LAL,32,Magic Johnson,PG,6-9,215,1959-08-14,US,9,Michigan State
1989,14,LAL,3,Jeff Lamp,SF,6-6,195,1959-03-09,US,5,Virginia
1989,14,LAL,31,Mark McNamara,C,6-11,235,1959-06-08,US,5,"Santa Clara, California"
1989,14,LAL,14,David Rivers,PG,6-0,170,1965-01-20,US,R,Notre Dame
1989,14,LAL,4,Byron Scott,SG,6-3,195,1961-03-28,US,5,Arizona State
1989,14,LAL,43,Mychal Thompson,C,6-10,226,1955-01-30,BS,9,Minnesota
1989,14,LAL,0,Orlando Woolridge,SF,6-9,215,1959-12-16,US,7,Notre Dame
1989,14,LAL,42,James Worthy,SF,6-9,225,1961-02-27,US,6,UNC
