Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,6,CLE,Cleveland Cavaliers,Gerald Wilkins,30,3,3,126,5.7,12.9,0.44,2.0,4.6,0.44,3.7,8.3,0.45,4.0,4.6,0.88,0.9,2.9,3.7,2.9,0.9,0.0,0.9,1.7,17.4,3121
1994,6,CLE,Cleveland Cavaliers,Tyrone Hill,25,3,3,123,3.2,7.9,0.41,0.0,0.0,,3.2,7.9,0.41,5.9,10.8,0.54,4.1,5.0,9.1,1.2,0.3,0.3,2.3,4.1,12.3,1293
1994,6,CLE,Cleveland Cavaliers,Chris Mills,24,3,1,112,6.1,12.2,0.5,1.3,1.6,0.8,4.8,10.6,0.46,2.9,3.5,0.82,3.2,4.2,7.4,2.6,2.3,0.3,1.6,2.9,16.4,1998
1994,6,CLE,Cleveland Cavaliers,Mark Price,29,3,3,102,5.3,15.2,0.35,0.7,3.2,0.22,4.6,12.0,0.38,4.6,4.9,0.93,0.4,1.8,2.1,4.9,1.4,0.0,3.2,2.1,15.9,2360
1994,6,CLE,Cleveland Cavaliers,Tim Kempton,30,3,1,89,4.0,10.1,0.4,0.0,0.0,,4.0,10.1,0.4,2.4,2.4,1.0,4.0,2.4,6.5,3.2,1.2,0.0,1.6,3.6,10.5,1593
1994,6,CLE,Cleveland Cavaliers,Bobby Phills,24,3,2,68,4.8,12.7,0.38,0.5,0.5,1.0,4.2,12.2,0.35,0.5,1.1,0.5,2.6,4.8,7.4,3.7,1.1,0.0,2.6,5.8,10.6,2302
1994,6,CLE,Cleveland Cavaliers,Rod Higgins,34,3,2,57,2.5,6.9,0.36,1.3,4.4,0.29,1.3,2.5,0.5,0.6,1.3,0.5,1.3,1.3,2.5,2.5,0.6,0.6,1.9,6.3,6.9,1281
1994,6,CLE,Cleveland Cavaliers,Terrell Brandon,23,3,0,56,7.7,12.2,0.63,0.0,0.0,,7.7,12.2,0.63,1.3,1.9,0.67,0.6,1.9,2.6,3.2,0.6,0.0,0.6,0.6,16.7,334
1994,6,CLE,Cleveland Cavaliers,John Battle,31,1,0,8,4.5,4.5,1.0,0.0,0.0,,4.5,4.5,1.0,0.0,0.0,,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,190
1994,6,CLE,Cleveland Cavaliers,Danny Ferry,27,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,0.0,912
