PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Michael Jordan,24,82,3311,31.7,0.603,0.027000000000000003,0.43,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,,15.2,6.1,21.2,0.308,,8.8,4.2,13.0,12.5
Charles Oakley,24,82,2816,15.4,0.5429999999999999,0.015,0.46299999999999997,13.4,30.0,21.7,12.0,1.2,0.6,20.5,17.9,,2.0,4.7,6.7,0.114,,-0.5,-0.1,-0.6,1.0
Dave Corzine,31,80,2328,13.6,0.514,0.013000000000000001,0.214,8.4,17.5,13.0,9.2,0.8,2.5,12.2,16.4,,1.9,3.0,4.9,0.10099999999999999,,-0.4,0.1,-0.3,1.0
Brad Sellers,25,82,2212,10.7,0.496,0.01,0.22,5.6,7.4,6.5,8.9,0.8,1.8,10.4,17.0,,1.3,2.0,3.3,0.071,,-1.4,-0.6,-2.0,0.0
John Paxson,27,81,1888,12.3,0.532,0.163,0.077,1.0,5.3,3.2,22.5,1.3,0.0,9.6,15.1,,2.7,1.5,4.2,0.106,,-0.9,-0.5,-1.4,0.3
Horace Grant,22,81,1827,13.0,0.53,0.004,0.359,9.8,18.2,14.0,6.7,1.4,1.7,12.8,15.8,,1.6,2.6,4.2,0.111,,-1.8,0.1,-1.7,0.2
Scottie Pippen,22,79,1650,12.9,0.489,0.040999999999999995,0.305,8.1,12.6,10.4,14.5,2.8,1.9,17.0,20.0,,-0.4,2.6,2.3,0.066,,-1.9,1.3,-0.6,0.6
Rory Sparrow,29,55,992,8.9,0.433,0.044000000000000004,0.12,1.6,6.4,4.0,21.7,1.9,0.2,15.3,14.7,,-0.3,1.0,0.7,0.035,,-3.5,-0.2,-3.8,-0.4
Sam Vincent,24,29,953,16.1,0.531,0.026000000000000002,0.34600000000000003,2.2,10.2,6.2,35.6,1.8,0.8,19.1,19.8,,1.2,1.1,2.3,0.115,,0.7,-0.1,0.6,0.6
Sedale Threatt,26,45,701,13.7,0.53,0.076,0.156,2.0,7.0,4.5,22.6,1.9,0.3,13.5,19.9,,0.7,0.7,1.4,0.094,,-1.4,-0.1,-1.5,0.1
Mike Brown,24,46,591,10.0,0.48,0.006,0.408,12.9,17.9,15.4,6.5,0.9,0.4,15.6,17.7,,0.0,0.7,0.7,0.057999999999999996,,-3.9,-1.6,-5.5,-0.5
Artis Gilmore,38,24,372,6.0,0.525,0.0,0.46299999999999997,4.7,14.7,9.7,3.2,0.7,1.9,22.5,14.3,,-0.3,0.4,0.1,0.013000000000000001,,-5.7,-0.2,-5.9,-0.4
Granville Waiters,27,22,114,4.2,0.301,0.034,0.069,9.1,19.0,14.1,1.1,0.9,7.9,16.7,13.5,,-0.3,0.2,0.0,-0.021,,-9.5,1.1,-8.4,-0.2
Elston Turner,28,17,98,3.1,0.275,0.0,0.067,9.4,2.3,5.9,11.7,4.1,0.0,24.5,17.9,,-0.4,0.1,-0.2,-0.11699999999999999,,-6.5,-0.3,-6.8,-0.1
Tony White,22,2,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.012,,-4.9,-1.2,-6.1,0.0
