Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2000.0,9.0,1676,DET,Detroit Pistons,Christian Laettner,30.0,3.0,75.0,8.6,0.49,0.0,0.47,3.3,22.7,12.7,16.3,0.0,1.1,12.8,15.3,0.0,0.1,0.1,0.08,-2.7,0.7,-2.1,0.0
,,2420,,,Don Reid,,,,,,,,,,,,,,,,,,,,,,,
2000.0,9.0,2032,DET,Detroit Pistons,Eric Montross,28.0,2.0,5.0,-1.0,,,,0.0,52.4,25.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.11,-9.0,1.8,-7.2,0.0
2000.0,9.0,1289,DET,Detroit Pistons,Grant Hill,27.0,2.0,55.0,9.5,0.54,0.12,0.62,0.0,26.2,12.7,34.5,1.0,0.0,32.9,27.0,-0.1,0.1,0.0,-0.04,-2.8,-0.6,-3.4,0.0
,,1402,,,Jermaine Jackson,,,,,,,,,,,,,,,,,,,,,,,
2000.0,9.0,3148,DET,Detroit Pistons,Jerome Williams,26.0,3.0,73.0,9.8,0.43,0.0,0.57,11.8,25.1,18.2,5.6,2.2,0.0,14.6,13.7,-0.1,0.1,0.1,0.06,-1.0,-0.6,-1.6,0.0
2000.0,9.0,2733,DET,Detroit Pistons,Jerry Stackhouse,25.0,3.0,120.0,15.3,0.51,0.12,0.52,1.0,12.0,6.3,21.7,0.9,0.0,16.2,35.3,-0.1,0.1,0.0,0.0,2.7,-2.0,0.7,0.1
2000.0,9.0,639,DET,Detroit Pistons,John Crotty,30.0,3.0,51.0,-0.6,0.28,0.3,0.2,0.0,10.3,5.0,14.4,1.0,1.6,26.9,14.3,-0.2,0.1,-0.1,-0.13,-6.5,-1.7,-8.2,-0.1
2000.0,9.0,417,DET,Detroit Pistons,Jud Buechler,31.0,3.0,34.0,4.8,0.43,0.71,0.0,0.0,15.4,7.5,5.6,0.0,2.3,0.0,10.1,0.0,0.0,0.0,0.05,-1.5,0.6,-0.9,0.0
2000.0,9.0,1366,DET,Detroit Pistons,Lindsey Hunter,29.0,3.0,93.0,5.6,0.36,0.28,0.19,0.0,9.9,4.8,11.3,2.9,0.9,12.6,20.8,-0.3,0.2,-0.2,-0.08,-3.2,0.3,-2.9,0.0
2000.0,9.0,2965,DET,Detroit Pistons,Loy Vaught,31.0,2.0,16.0,2.0,0.0,0.0,0.0,7.7,40.9,23.8,0.0,6.7,0.0,25.0,12.2,-0.1,0.1,0.0,-0.13,-5.6,1.3,-4.3,0.0
,,388,,,Marcus Brown,,,,,,,,,,,,,,,,,,,,,,,
2000.0,9.0,655,DET,Detroit Pistons,Michael Curry,31.0,3.0,79.0,11.4,0.55,0.0,0.26,0.0,5.0,2.4,8.8,0.7,1.0,7.2,17.1,0.1,0.1,0.1,0.09,0.5,0.4,0.9,0.1
2000.0,9.0,2040,DET,Detroit Pistons,Mikki Moore,24.0,3.0,42.0,17.7,0.58,0.0,0.67,20.5,15.6,18.1,15.4,1.3,0.0,20.5,22.7,0.1,0.1,0.2,0.18,0.9,-0.4,0.5,0.0
2000.0,9.0,2000,DET,Detroit Pistons,Terry Mills,32.0,3.0,77.0,11.5,0.79,0.6,0.13,0.0,10.2,4.9,2.8,1.4,0.0,11.2,11.3,0.2,0.1,0.3,0.16,1.6,1.5,3.1,0.1
