SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1984,8,DEN,Kiki Vandeweghe,25,78,71,35.1,11.5,20.6,0.56,0.1,0.4,0.37,11.3,20.2,0.56,0.56,6.3,7.4,0.85,1.1,3.7,4.8,3.1,0.7,0.6,2.0,2.4,29.4
1984,8,DEN,Alex English,30,82,77,35.0,11.1,20.9,0.53,0.0,0.1,0.14,11.0,20.8,0.53,0.53,4.3,5.2,0.82,2.6,3.0,5.7,5.0,1.0,1.2,2.7,3.1,26.4
1984,8,DEN,T.R. Dunn,28,80,74,33.8,2.2,4.6,0.47,0.0,0.0,0.0,2.2,4.6,0.47,0.47,1.3,1.8,0.73,2.4,4.7,7.2,2.9,2.2,0.4,1.2,2.9,5.7
1984,8,DEN,Dan Issel,35,76,66,27.3,7.5,15.2,0.49,0.1,0.3,0.21,7.4,14.9,0.5,0.5,4.8,5.6,0.85,1.5,5.3,6.8,2.3,0.8,0.6,1.6,2.4,19.8
1984,8,DEN,Rob Williams,22,79,66,24.4,3.9,8.5,0.46,0.2,0.6,0.32,3.7,7.9,0.47,0.47,2.2,2.6,0.82,0.7,1.8,2.5,5.9,1.1,0.1,2.1,3.4,10.2
1984,8,DEN,Mike Evans,28,78,5,21.6,3.1,7.2,0.43,0.4,1.1,0.36,2.7,6.1,0.44,0.46,1.4,1.7,0.85,0.3,1.5,1.8,3.7,0.8,0.1,1.5,2.2,8.1
1984,8,DEN,Bill Hanzlik,26,80,14,18.4,1.7,3.8,0.43,0.0,0.2,0.25,1.6,3.7,0.44,0.44,2.1,2.6,0.81,0.8,1.7,2.6,3.2,0.9,0.2,1.4,3.2,5.4
1984,8,DEN,Richard Anderson,23,78,17,17.7,3.5,8.2,0.43,0.0,0.2,0.16,3.4,7.9,0.44,0.43,1.5,1.9,0.77,1.7,3.5,5.2,2.5,0.6,0.4,1.4,2.3,8.5
1984,8,DEN,Danny Schayes,24,82,15,17.3,2.2,4.5,0.49,0.0,0.0,0.0,2.2,4.5,0.5,0.49,2.6,3.3,0.79,1.8,3.5,5.3,1.1,0.4,0.7,1.5,3.8,7.1
1984,8,DEN,Howard Carter,22,55,5,12.5,2.6,5.7,0.46,0.1,0.3,0.26,2.5,5.4,0.47,0.47,0.9,1.1,0.77,0.7,0.9,1.6,1.3,0.3,0.1,0.8,1.5,6.2
1984,8,DEN,Anthony Roberts,28,19,0,10.4,1.8,4.8,0.37,0.0,0.0,,1.8,4.8,0.37,0.37,0.7,0.9,0.72,1.1,1.6,2.7,0.7,0.3,0.1,0.9,2.3,4.3
1984,8,DEN,Kenny Dennard,25,43,0,9.6,0.8,2.3,0.36,0.1,0.2,0.3,0.8,2.1,0.37,0.38,0.3,0.6,0.62,0.9,1.5,2.3,1.0,0.5,0.2,0.7,1.9,2.1
1984,8,DEN,Dave Robisch,34,19,0,7.4,0.7,2.1,0.32,0.0,0.0,,0.7,2.1,0.32,0.32,0.6,0.7,0.85,0.1,1.1,1.1,0.7,0.0,0.1,0.6,0.7,1.9
1984,8,DEN,Keith Edmonson,23,15,0,6.7,1.5,3.1,0.49,0.0,0.0,,1.5,3.1,0.49,0.49,1.2,1.7,0.72,0.4,0.8,1.2,0.5,0.3,0.1,1.1,1.1,4.3
