Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,29,UTA,Utah Jazz,Karl Malone,24,11,11,44.9,11.2,23.2,0.48,0.0,0.1,0.0,11.2,23.1,0.48,0.48,7.4,10.2,0.72,3.0,8.8,11.8,1.5,1.2,0.6,3.5,3.2,29.7,1822
1988,29,UTA,Utah Jazz,John Stockton,25,11,11,43.5,6.2,12.2,0.51,0.4,1.3,0.29,5.8,10.9,0.53,0.52,6.8,8.3,0.82,1.3,2.8,4.1,14.8,3.4,0.3,4.4,3.3,19.5,2760
1988,29,UTA,Utah Jazz,Mark Eaton,31,11,11,41.9,2.8,5.9,0.48,0.0,0.0,,2.8,5.9,0.48,0.48,2.1,3.3,0.64,2.5,6.8,9.4,1.2,1.1,3.1,1.3,4.4,7.7,816
1988,29,UTA,Utah Jazz,Thurl Bailey,26,11,0,40.8,9.0,18.5,0.49,0.0,0.1,0.0,9.0,18.4,0.49,0.49,5.2,6.2,0.84,1.9,3.8,5.7,1.6,0.5,2.1,1.9,2.9,23.2,142
1988,29,UTA,Utah Jazz,Bob Hansen,27,11,11,37.1,6.1,12.3,0.5,1.7,3.3,0.53,4.4,9.0,0.48,0.57,1.5,2.0,0.73,0.7,2.8,3.5,2.9,0.6,0.0,2.5,3.8,15.4,1174
1988,29,UTA,Utah Jazz,Marc Iavaroni,31,11,11,12.5,1.5,2.6,0.55,0.0,0.0,,1.5,2.6,0.55,0.55,1.1,1.3,0.86,0.5,1.3,1.7,1.3,0.2,0.2,0.5,2.4,4.0,1374
1988,29,UTA,Utah Jazz,Bart Kofoed,23,10,0,10.9,0.9,2.3,0.39,0.1,0.5,0.2,0.8,1.8,0.44,0.41,0.2,0.2,1.0,0.3,1.1,1.4,1.1,0.1,0.0,0.9,1.8,2.1,1643
1988,29,UTA,Utah Jazz,Rickey Green,33,7,0,5.4,0.3,1.1,0.25,0.0,0.0,,0.3,1.1,0.25,0.25,0.0,0.0,,0.0,0.1,0.1,1.3,0.3,0.0,0.4,0.3,0.6,1112
1988,29,UTA,Utah Jazz,Kelly Tripucka,28,2,0,4.5,0.5,1.5,0.33,0.0,0.0,,0.5,1.5,0.33,0.33,0.0,0.0,,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0,2910
1988,29,UTA,Utah Jazz,Melvin Turpin,27,7,0,4.4,0.4,1.3,0.33,0.0,0.0,,0.4,1.3,0.33,0.33,0.3,0.3,1.0,0.4,0.4,0.9,0.3,0.1,0.6,0.3,0.7,1.1,2930
1988,29,UTA,Utah Jazz,Eddie Hughes,27,7,0,2.3,0.3,1.0,0.29,0.1,0.4,0.33,0.1,0.6,0.25,0.36,0.0,0.0,,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.7,1352
1988,29,UTA,Utah Jazz,Scott Roth,24,6,0,1.7,0.2,0.5,0.33,0.0,0.0,,0.2,0.5,0.33,0.33,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,2512
