SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2000,29,UTA,55,27,.671,—,96.5,92.0,4.52
2000,27,SAS,53,29,.646,2.0,96.2,90.2,5.92
2000,18,MIN,50,32,.610,5.0,98.5,96.0,2.67
2000,7,DAL,40,42,.488,15.0,101.4,102.0,-0.29
2000,8,DEN,35,47,.427,20.0,99.0,101.1,-1.76
2000,11,HOU,34,48,.415,21.0,99.5,100.3,-0.57
2000,15,VAN,22,60,.268,33.0,93.9,99.5,-5.10
2000,14,LAL,67,15,.817,—,100.8,92.3,8.41
2000,25,POR,59,23,.720,8.0,97.5,91.0,6.36
2000,24,PHO,53,29,.646,14.0,98.9,93.7,5.24
2000,21,SEA,45,37,.549,22.0,99.1,98.1,1.17
2000,26,SAC,44,38,.537,23.0,105.0,102.0,3.04
2000,10,GSW,19,63,.232,48.0,95.5,103.8,-7.63
2000,13,LAC,15,67,.183,52.0,92.0,103.5,-10.73
