Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2014,25,POR,Portland Trail Blazers,Damian Lillard,23,11,11,466,9.0,20.6,0.44,2.9,7.6,0.39,6.1,13.0,0.47,6.4,7.2,0.89,1.3,4.8,6.1,7.8,1.2,0.1,3.3,3.2,27.4,,118,116
2014,25,POR,Portland Trail Blazers,Nicolas Batum,25,11,11,459,7.4,15.7,0.47,2.3,6.6,0.35,5.1,9.1,0.56,1.3,1.7,0.8,1.1,8.2,9.3,5.9,1.5,0.6,3.1,2.3,18.5,,109,113
2014,25,POR,Portland Trail Blazers,LaMarcus Aldridge,28,11,11,441,13.0,28.8,0.45,0.2,0.3,0.67,12.8,28.4,0.45,6.9,8.6,0.8,3.5,10.0,13.5,1.8,0.8,2.1,2.2,4.6,33.1,,108,111
2014,25,POR,Portland Trail Blazers,Wesley Matthews,27,11,11,426,6.7,16.2,0.41,2.6,8.1,0.32,4.0,8.1,0.5,3.1,3.8,0.81,0.8,4.3,5.1,1.7,1.7,0.6,2.6,5.4,19.1,,102,115
2014,25,POR,Portland Trail Blazers,Robin Lopez,25,11,11,367,5.9,12.2,0.49,0.0,0.0,,5.9,12.2,0.49,3.3,5.0,0.67,6.5,7.5,14.0,1.2,0.8,2.8,1.5,5.5,15.2,,118,112
2014,25,POR,Portland Trail Blazers,Mo Williams,31,8,0,187,6.0,16.0,0.37,1.4,5.7,0.24,4.6,10.3,0.45,2.7,3.0,0.91,0.5,2.7,3.3,4.1,0.8,0.0,3.8,6.5,16.0,,88,119
2014,25,POR,Portland Trail Blazers,Thomas Robinson,22,11,0,122,5.4,12.9,0.42,0.0,0.0,,5.4,12.9,0.42,2.5,2.9,0.86,4.2,7.5,11.6,2.5,2.1,2.1,2.1,9.6,13.3,,103,110
2014,25,POR,Portland Trail Blazers,Dorell Wright,28,8,0,88,4.0,11.0,0.37,2.3,6.9,0.33,1.7,4.0,0.43,6.3,8.6,0.73,1.2,8.1,9.2,1.7,1.7,5.2,2.9,4.6,16.7,,106,108
2014,25,POR,Portland Trail Blazers,Will Barton,23,7,0,81,10.6,21.3,0.5,3.8,6.9,0.55,6.9,14.4,0.48,3.1,3.8,0.83,3.1,4.4,7.5,1.9,0.6,1.3,3.8,4.4,28.2,,113,117
2014,25,POR,Portland Trail Blazers,Joel Freeland,26,9,0,24,0.0,6.3,0.0,0.0,0.0,,0.0,6.3,0.0,2.1,4.2,0.5,8.5,8.5,16.9,2.1,2.1,2.1,8.5,14.8,2.1,,48,109
2014,25,POR,Portland Trail Blazers,CJ McCollum,22,6,0,24,2.1,23.3,0.09,0.0,10.6,0.0,2.1,12.7,0.17,4.2,4.2,1.0,0.0,2.1,2.1,0.0,0.0,0.0,2.1,4.2,8.5,,37,121
2014,25,POR,Portland Trail Blazers,Earl Watson,34,4,0,14,0.0,3.6,0.0,0.0,3.6,0.0,0.0,0.0,,0.0,0.0,,0.0,3.6,3.6,3.6,0.0,0.0,3.6,3.6,0.0,,25,120
2014,25,POR,Portland Trail Blazers,Meyers Leonard,21,4,0,9,0.0,11.3,0.0,0.0,0.0,,0.0,11.3,0.0,0.0,0.0,,0.0,11.3,11.3,0.0,0.0,0.0,0.0,5.6,0.0,,0,114
2014,25,POR,Portland Trail Blazers,Victor Claver,25,2,0,7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,29.0,0.0,0.0,36.2,36.2,0.0,0.0,0.0,7.2,0.0,0.0,,0,97
