PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Aaron Gordon,23,78,2633,15.1,0.5379999999999999,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,,1.8,3.3,5.1,0.09300000000000001,,0.3,0.3,0.6,1.7
Evan Fournier,26,81,2553,12.3,0.536,0.42100000000000004,0.159,1.6,9.4,5.4,17.6,1.4,0.4,11.9,22.1,,0.8,2.5,3.2,0.061,,-1.8,-0.6,-2.4,-0.3
Nikola Vučević,28,80,2510,25.5,0.573,0.171,0.168,9.4,31.9,20.5,21.9,1.6,3.0,9.9,28.0,,5.4,4.7,10.1,0.193,,5.0,1.7,6.6,5.5
D.J. Augustin,31,81,2269,15.7,0.616,0.45899999999999996,0.309,1.9,7.8,4.8,26.9,1.1,0.1,14.3,17.2,,5.0,1.9,6.9,0.146,,1.1,-0.7,0.5,1.4
Terrence Ross,27,81,2150,15.4,0.561,0.551,0.14,1.3,12.8,7.0,9.9,1.6,1.1,7.6,23.9,,1.7,2.6,4.3,0.095,,1.1,-0.3,0.8,1.5
Jonathan Isaac,21,75,1996,13.0,0.537,0.435,0.221,5.2,17.0,11.0,5.7,1.4,4.1,10.1,16.3,,0.9,3.1,4.0,0.096,,-1.4,1.0,-0.4,0.8
Wesley Iwundu,24,68,1233,8.7,0.531,0.28800000000000003,0.376,3.2,13.0,8.0,7.9,1.1,1.5,12.1,12.8,,0.5,1.4,1.9,0.073,,-3.8,0.6,-3.2,-0.4
Jerian Grant,26,60,939,10.8,0.526,0.5,0.182,2.1,9.1,5.6,22.4,2.3,0.5,17.7,13.4,,0.5,1.1,1.7,0.085,,-2.9,1.3,-1.6,0.1
Jonathon Simmons,29,41,845,7.4,0.445,0.29,0.252,2.9,9.9,6.3,15.7,1.0,1.4,15.0,19.3,,-1.0,0.8,-0.2,-0.01,,-4.6,-0.5,-5.2,-0.7
Mohamed Bamba,20,47,766,14.9,0.539,0.28800000000000003,0.259,8.8,24.0,16.3,7.4,0.8,7.0,13.7,17.8,,0.3,1.4,1.7,0.106,,-2.8,1.4,-1.4,0.1
Khem Birch,26,50,643,19.2,0.64,0.006999999999999999,0.55,13.0,18.8,15.8,8.5,1.4,3.8,9.6,14.1,,1.8,1.0,2.8,0.212,,0.1,1.0,1.2,0.5
Isaiah Briscoe,22,39,559,6.7,0.455,0.24600000000000002,0.188,0.9,13.4,7.1,21.0,1.0,0.3,17.2,14.1,,-0.3,0.5,0.3,0.023,,-5.4,0.4,-5.0,-0.4
Jarell Martin,24,42,328,9.4,0.528,0.5479999999999999,0.106,3.5,20.5,11.9,7.8,0.4,2.0,9.2,15.9,,0.1,0.4,0.5,0.073,,-3.7,-0.2,-3.9,-0.2
Michael Carter-Williams,27,12,227,16.1,0.44,0.306,0.435,7.4,19.6,13.5,28.9,2.4,3.3,11.9,16.1,,0.2,0.4,0.6,0.134,,-0.5,2.9,2.4,0.3
Amile Jefferson,25,12,68,21.1,0.6920000000000001,0.0,0.5,9.3,24.0,16.5,6.4,2.2,3.7,4.9,13.1,,0.2,0.1,0.4,0.258,,0.5,2.0,2.5,0.1
Melvin Frazier,22,10,44,1.2,0.33,0.28600000000000003,0.19,7.2,4.9,6.1,3.3,1.1,0.0,4.2,23.5,,-0.2,0.0,-0.1,-0.133,,-11.3,-3.2,-14.5,-0.1
Troy Caupain,23,4,16,30.7,0.625,0.375,0.0,6.6,13.6,10.0,42.5,3.1,0.0,0.0,21.8,,0.1,0.0,0.1,0.34700000000000003,,9.6,3.7,13.3,0.1
