Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1987.0,14.0,1098,LAL,Los Angeles Lakers,A.C. Green,23.0,18.0,505.0,15.4,0.62,0.0,0.67,13.3,17.7,15.7,2.7,0.9,0.9,9.2,15.1,1.2,0.7,1.9,0.18,1.3,-1.1,0.1,0.3
1987.0,14.0,332,LAL,Los Angeles Lakers,Adrian Branch,23.0,11.0,42.0,-1.9,0.27,0.05,0.57,8.9,17.0,13.3,14.2,2.3,0.0,16.0,30.7,-0.3,0.1,-0.2,-0.23,-13.3,-4.2,-17.4,-0.2
1987.0,14.0,2862,LAL,Los Angeles Lakers,Billy Thompson,23.0,3.0,27.0,25.8,0.59,0.0,0.18,13.8,11.3,12.4,10.4,7.1,0.0,0.0,18.1,0.1,0.1,0.2,0.3,3.6,3.7,7.3,0.1
1987.0,14.0,2581,LAL,Los Angeles Lakers,Byron Scott,25.0,18.0,608.0,13.0,0.56,0.16,0.32,4.1,7.0,5.7,12.3,1.5,0.4,9.5,17.9,0.9,0.7,1.5,0.12,-0.3,-0.4,-0.7,0.2
1987.0,14.0,3233,LAL,Los Angeles Lakers,James Worthy,25.0,18.0,681.0,21.0,0.62,0.01,0.33,5.7,10.5,8.3,13.7,2.0,1.8,10.5,23.0,1.7,1.0,2.7,0.19,3.9,1.1,5.0,1.2
1987.0,14.0,2,LAL,Los Angeles Lakers,Kareem Abdul-Jabbar,39.0,18.0,559.0,19.4,0.6,0.0,0.52,8.7,15.3,12.3,9.1,0.7,3.5,12.2,24.2,1.2,0.8,2.0,0.17,2.3,0.3,2.5,0.6
1987.0,14.0,2387,LAL,Los Angeles Lakers,Kurt Rambis,28.0,17.0,215.0,14.1,0.71,0.0,0.83,9.3,24.1,17.4,5.1,1.8,0.8,18.9,13.2,0.4,0.4,0.8,0.19,-1.7,1.4,-0.3,0.1
1987.0,14.0,1503,LAL,Los Angeles Lakers,Magic Johnson,27.0,18.0,666.0,26.2,0.61,0.04,0.44,5.2,17.0,11.7,46.1,2.2,0.6,13.6,23.1,2.6,1.1,3.7,0.26,7.3,2.1,9.3,1.9
1987.0,14.0,603,LAL,Los Angeles Lakers,Michael Cooper,30.0,18.0,522.0,16.7,0.64,0.44,0.34,1.9,9.9,6.3,22.0,2.3,1.5,16.8,17.4,1.0,0.8,1.8,0.16,3.3,2.3,5.6,1.0
1987.0,14.0,2711,LAL,Los Angeles Lakers,Mike Smrek,24.0,10.0,33.0,2.1,0.32,0.0,0.6,11.3,12.3,11.9,0.0,0.0,10.1,7.3,17.0,-0.1,0.1,0.0,0.0,-13.3,0.7,-12.6,-0.1
1987.0,14.0,2872,LAL,Los Angeles Lakers,Mychal Thompson,32.0,18.0,401.0,11.1,0.5,0.0,0.36,9.0,15.0,12.3,2.9,0.8,2.3,9.1,18.0,0.1,0.6,0.7,0.08,-2.3,-1.0,-3.4,-0.1
1987.0,14.0,1873,LAL,Los Angeles Lakers,Wes Matthews,27.0,12.0,61.0,3.7,0.54,0.04,0.3,0.0,6.7,3.7,19.6,0.8,0.0,33.3,26.4,-0.2,0.1,-0.2,-0.12,-8.2,-4.1,-12.3,-0.2
