Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1994,11,HOU,Houston Rockets,58,24,.707,—,101.1,96.8,4.19
1994,27,SAS,San Antonio Spurs,55,27,.671,3.0,100.0,94.8,5.05
1994,29,UTA,Utah Jazz,53,29,.646,5.0,101.9,97.7,4.10
1994,8,DEN,Denver Nuggets,42,40,.512,16.0,100.3,98.8,1.54
1994,18,MIN,Minnesota Timberwolves,20,62,.244,38.0,96.7,103.6,-6.55
1994,7,DAL,Dallas Mavericks,13,69,.159,45.0,95.1,103.8,-8.19
1994,21,SEA,Seattle Supersonics,63,19,.768,—,105.9,96.9,8.68
1994,24,PHO,Phoenix Suns,56,26,.683,7.0,108.2,103.4,4.68
1994,10,GSW,Golden State Warriors,50,32,.610,13.0,107.9,106.1,1.76
1994,25,POR,Portland Trail Blazers,47,35,.573,16.0,107.3,104.6,2.60
1994,14,LAL,Los Angeles Lakers,33,49,.402,30.0,100.4,104.7,-3.93
1994,26,SAC,Sacramento Kings,28,54,.341,35.0,101.1,106.9,-5.32
1994,13,LAC,Los Angeles Clippers,27,55,.329,36.0,103.0,108.7,-5.28
