Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
1992,29,UTA,Utah Jazz,55,27,.671,—,108.3,101.9,5.70
1992,27,SAS,San Antonio Spurs,47,35,.573,8.0,104.0,100.6,2.81
1992,11,HOU,Houston Rockets,42,40,.512,13.0,102.0,103.7,-1.94
1992,8,DEN,Denver Nuggets,24,58,.293,31.0,99.7,107.6,-7.59
1992,7,DAL,Dallas Mavericks,22,60,.268,33.0,97.6,105.3,-7.47
1992,18,MIN,Minnesota Timberwolves,15,67,.183,40.0,100.5,107.5,-6.85
1992,25,POR,Portland Trail Blazers,57,25,.695,—,111.4,104.1,6.94
1992,10,GSW,Golden State Warriors,55,27,.671,2.0,118.7,114.8,3.77
1992,24,PHO,Phoenix Suns,53,29,.646,4.0,112.1,106.2,5.68
1992,21,SEA,Seattle Supersonics,47,35,.573,10.0,106.5,104.7,1.86
1992,13,LAC,Los Angeles Clippers,45,37,.549,12.0,102.9,101.9,1.10
1992,14,LAL,Los Angeles Lakers,43,39,.524,14.0,100.4,101.5,-0.95
1992,26,SAC,Sacramento Kings,29,53,.354,28.0,104.3,110.3,-5.63
