PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Nenê Hilário,27,82,82,2755,7.7,13.2,0.5870000000000001,0.0,0.0,0.0,7.7,13.1,0.589,5.4,7.6,0.7040000000000001,3.1,8.5,11.5,3.7,2.1,1.5,2.3,5.2,20.9,,124,105
Carmelo Anthony,25,69,69,2634,13.2,28.9,0.45799999999999996,1.1,3.6,0.316,12.1,25.3,0.478,9.8,11.8,0.83,2.9,5.8,8.7,4.3,1.7,0.6,4.0,4.3,37.4,,110,109
Chauncey Billups,33,73,73,2490,8.2,19.6,0.418,3.2,8.3,0.386,5.0,11.3,0.441,9.5,10.4,0.91,0.5,4.1,4.6,8.3,1.7,0.2,3.6,3.1,29.0,,120,110
Arron Afflalo,24,82,75,2221,6.2,13.3,0.465,2.5,5.7,0.434,3.7,7.7,0.488,1.6,2.2,0.735,1.3,4.4,5.7,3.1,1.0,0.7,1.7,5.1,16.5,,114,111
J.R. Smith,24,75,0,2082,10.4,25.1,0.414,3.8,11.4,0.33799999999999997,6.6,13.8,0.47700000000000004,3.5,4.9,0.706,0.7,5.0,5.7,4.5,2.4,0.5,3.4,4.2,28.1,,101,108
Kenyon Martin,32,58,58,1986,7.2,15.8,0.456,0.2,0.7,0.276,7.0,15.1,0.465,2.4,4.3,0.557,3.6,10.3,13.9,2.8,1.8,1.6,2.3,4.7,17.0,,101,104
Chris Andersen,31,76,0,1695,4.2,7.5,0.5660000000000001,0.0,0.1,0.0,4.2,7.4,0.573,4.9,7.1,0.695,4.4,10.0,14.4,1.0,1.3,4.3,1.8,5.1,13.4,,126,103
Ty Lawson,22,65,8,1318,7.7,15.0,0.515,1.3,3.2,0.41,6.4,11.8,0.544,4.1,5.4,0.757,1.6,3.2,4.8,7.8,1.8,0.1,3.2,3.4,20.8,,118,111
Anthony Carter,34,54,7,859,4.5,10.7,0.42,1.0,3.7,0.27,3.5,7.0,0.5,0.6,0.8,0.846,1.0,4.2,5.2,9.4,2.3,0.8,3.4,4.2,10.6,,100,108
Joey Graham,27,63,18,759,7.0,13.5,0.52,0.1,0.9,0.154,6.9,12.6,0.545,3.6,4.9,0.74,2.6,5.6,8.2,1.5,1.5,0.5,2.9,6.9,17.8,,106,109
Malik Allen,31,51,3,456,5.1,12.9,0.397,0.1,0.7,0.16699999999999998,5.0,12.2,0.409,1.3,1.4,0.9229999999999999,4.0,5.1,9.1,1.8,1.2,0.6,2.4,7.6,11.7,,93,110
Johan Petro,24,36,16,436,6.3,11.7,0.535,0.0,0.1,0.0,6.3,11.6,0.54,1.6,2.4,0.667,3.7,11.3,15.0,1.6,1.2,1.5,2.7,9.3,14.2,,105,105
Renaldo Balkman,25,13,1,91,3.3,10.0,0.33299999999999996,0.0,3.9,0.0,3.3,6.1,0.545,1.1,3.3,0.33299999999999996,2.2,10.6,12.8,3.9,4.5,1.1,3.3,8.9,7.8,,74,99
