PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Kobe Bryant,31,73,73,2835,13.1,28.6,0.456,1.8,5.5,0.32899999999999996,11.3,23.1,0.48700000000000004,8.0,9.9,0.8109999999999999,1.4,5.7,7.1,6.7,2.1,0.4,4.3,3.4,35.9,,109,104
Metta World Peace,30,77,77,2605,6.1,14.7,0.414,2.1,5.9,0.355,4.0,8.8,0.45299999999999996,2.5,3.7,0.688,2.0,4.6,6.6,4.6,2.1,0.4,2.4,3.3,16.8,,106,105
Lamar Odom,30,82,38,2585,6.8,14.8,0.46299999999999997,1.2,3.6,0.319,5.7,11.1,0.51,2.8,4.0,0.693,3.7,12.4,16.0,5.3,1.5,1.2,3.0,4.5,17.6,,109,100
Pau Gasol,29,65,65,2403,9.7,18.2,0.536,0.0,0.1,0.0,9.7,18.1,0.539,6.2,7.8,0.79,5.2,10.6,15.8,4.7,0.8,2.4,3.1,3.3,25.6,,120,102
Derek Fisher,35,82,82,2227,4.9,13.0,0.38,1.8,5.2,0.348,3.1,7.8,0.401,2.6,3.1,0.856,0.6,3.4,3.9,4.7,2.1,0.2,1.8,4.7,14.3,,105,106
Andrew Bynum,22,65,65,1977,10.3,18.0,0.57,0.0,0.0,0.0,10.3,18.0,0.5710000000000001,5.0,6.8,0.7390000000000001,4.6,9.5,14.2,1.8,0.9,2.5,3.0,5.0,25.6,,117,102
Shannon Brown,24,82,7,1700,7.7,18.0,0.42700000000000005,1.9,5.8,0.32799999999999996,5.8,12.3,0.474,3.0,3.7,0.818,0.9,4.7,5.6,3.3,1.7,0.9,2.0,3.9,20.3,,105,105
Jordan Farmar,23,82,0,1474,7.9,18.1,0.435,3.0,8.0,0.376,4.8,10.0,0.483,2.0,3.0,0.6709999999999999,0.5,4.1,4.6,4.5,1.8,0.4,2.5,3.8,20.7,,105,106
Josh Powell,27,63,0,581,6.3,17.3,0.366,0.6,1.4,0.43799999999999994,5.7,15.8,0.36,1.8,2.8,0.645,3.9,6.4,10.3,3.1,0.8,0.5,2.9,6.3,15.0,,89,106
Sasha Vujačić,25,67,1,575,5.9,14.8,0.402,2.2,7.3,0.309,3.7,7.5,0.494,2.5,3.0,0.848,2.2,4.9,7.1,3.7,1.8,0.4,1.5,6.0,16.6,,112,105
Didier Ilunga-Mbenga,29,49,2,355,7.0,15.0,0.466,0.0,0.0,,7.0,15.0,0.466,1.3,2.8,0.474,4.7,8.0,12.7,1.2,0.7,4.2,2.2,7.9,15.3,,99,101
Luke Walton,29,29,0,272,5.7,16.0,0.35700000000000004,1.3,3.2,0.41200000000000003,4.4,12.7,0.34299999999999997,0.4,0.8,0.5,2.3,4.9,7.2,7.6,1.9,0.2,2.3,3.6,13.1,,96,105
Adam Morrison,25,31,0,241,6.9,18.2,0.376,1.1,4.5,0.23800000000000002,5.8,13.7,0.42200000000000004,1.1,1.7,0.625,2.1,4.7,6.9,3.9,0.6,0.4,2.1,3.6,15.9,,92,108
