PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Gerald Wallace,27,76,76,3119,7.8,16.1,0.484,0.9,2.4,0.371,6.9,13.7,0.503,7.2,9.3,0.7759999999999999,2.6,10.4,13.0,2.7,2.0,1.4,3.0,3.3,23.6,,113,100
Boris Diaw,27,82,82,2906,6.8,14.1,0.483,1.2,3.8,0.32,5.6,10.4,0.541,2.1,2.7,0.769,2.4,5.4,7.8,5.9,1.1,1.0,3.3,4.0,16.9,,107,105
Stephen Jackson,31,72,72,2829,10.2,24.1,0.423,2.2,6.6,0.33399999999999996,8.0,17.5,0.457,5.9,7.5,0.7859999999999999,1.4,5.5,6.9,4.8,2.2,0.7,4.4,3.4,28.5,,100,103
Raymond Felton,25,80,80,2643,7.8,17.0,0.45899999999999996,1.2,3.1,0.385,6.6,13.9,0.475,2.7,3.5,0.763,1.1,4.7,5.8,9.0,2.5,0.4,3.4,3.5,19.5,,107,103
D.J. Augustin,22,80,2,1472,6.1,15.7,0.386,2.5,6.4,0.39299999999999996,3.5,9.3,0.381,3.7,4.7,0.779,0.4,3.1,3.5,7.0,1.6,0.2,2.7,4.6,18.3,,106,107
Tyson Chandler,27,51,27,1163,5.0,8.7,0.574,0.0,0.0,,5.0,8.7,0.574,5.3,7.2,0.732,5.2,9.4,14.6,0.7,0.8,2.5,4.2,6.3,15.2,,107,102
Ronald Murray,30,46,1,993,8.6,22.0,0.389,2.2,7.0,0.313,6.4,15.0,0.425,5.0,7.0,0.71,0.8,4.4,5.2,4.5,1.5,0.6,3.5,4.1,24.3,,96,105
Nazr Mohammed,32,58,29,984,10.2,18.5,0.5529999999999999,0.0,0.0,,10.2,18.5,0.5529999999999999,4.4,6.7,0.648,6.2,10.3,16.4,1.5,0.8,2.3,2.9,5.7,24.8,,113,101
Stephen Graham,27,70,8,804,7.9,15.9,0.496,1.1,3.3,0.32,6.8,12.6,0.542,2.8,4.3,0.6459999999999999,1.6,7.3,8.9,1.5,1.3,0.7,2.4,6.2,19.6,,104,104
Theo Ratliff,36,28,26,624,4.6,9.9,0.466,0.0,0.0,,4.6,9.9,0.466,3.1,3.9,0.7829999999999999,3.7,6.2,10.0,1.4,0.8,3.7,2.1,5.1,12.3,,106,103
Tyrus Thomas,23,25,0,542,9.3,21.1,0.442,0.0,0.2,0.0,9.3,20.9,0.446,6.1,8.3,0.7290000000000001,3.8,11.1,14.9,2.3,2.3,3.6,3.9,6.4,24.7,,98,96
Derrick Brown,22,57,0,535,6.8,14.6,0.46299999999999997,0.2,0.7,0.28600000000000003,6.6,13.9,0.47100000000000003,4.8,7.1,0.667,3.1,4.7,7.7,1.9,2.1,1.0,1.9,5.3,18.5,,107,104
Gerald Henderson,22,43,0,355,5.5,15.6,0.35600000000000004,0.6,2.8,0.21100000000000002,4.9,12.7,0.38799999999999996,5.2,7.0,0.745,2.2,6.0,8.2,1.9,1.5,1.3,2.1,3.7,16.9,,96,104
Larry Hughes,31,14,2,295,6.3,19.3,0.327,2.7,7.6,0.35700000000000004,3.6,11.7,0.308,5.2,6.1,0.853,1.3,4.5,5.8,5.0,2.2,0.7,3.4,3.1,20.5,,96,104
DeSagana Diop,28,27,0,262,3.0,5.9,0.517,0.0,0.0,,3.0,5.9,0.517,0.4,1.8,0.222,4.9,8.3,13.2,1.0,1.0,2.8,2.4,6.3,6.5,,94,101
Raja Bell,33,5,5,157,8.1,18.6,0.436,3.0,8.1,0.375,5.1,10.5,0.484,1.0,1.0,1.0,1.7,5.4,7.1,3.4,1.4,0.7,1.7,4.4,20.3,,109,105
Vladimir Radmanović,29,8,0,133,5.6,16.8,0.33299999999999996,2.8,8.8,0.318,2.8,8.0,0.35,1.6,2.4,0.667,3.2,8.4,11.6,2.8,1.2,0.4,2.0,7.2,15.6,,95,104
Acie Law,25,9,0,33,8.0,25.8,0.313,0.0,1.6,0.0,8.0,24.1,0.33299999999999996,9.7,11.3,0.857,0.0,1.6,1.6,4.8,1.6,1.6,4.8,4.8,25.8,,84,106
Alexis Ajinça,21,6,0,30,8.9,17.7,0.5,0.0,0.0,,8.9,17.7,0.5,0.0,1.8,0.0,1.8,5.3,7.1,0.0,1.8,1.8,3.5,8.9,17.7,,81,103
