Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2004,23.0,MEM,NBA,PF,4.0,4.0,134.0,28.0,49.0,0.571,0.0,0.0,,28.0,49.0,0.571,0.571,18.0,20.0,0.9,4.0,16.0,20.0,10.0,4.0,6.0,5.0,10.0,74.0,,0.0
2005,24.0,MEM,NBA,PF,4.0,4.0,133.0,39.0,80.0,0.488,1.0,1.0,1.0,38.0,79.0,0.481,0.494,6.0,12.0,0.5,15.0,15.0,30.0,10.0,2.0,7.0,7.0,12.0,85.0,,0.0
2006,25.0,MEM,NBA,PF,4.0,4.0,158.0,29.0,67.0,0.433,0.0,1.0,0.0,29.0,66.0,0.439,0.433,23.0,30.0,0.767,4.0,23.0,27.0,12.0,2.0,5.0,11.0,11.0,81.0,,0.0
2008,27.0,LAL,NBA,C,21.0,21.0,836.0,141.0,266.0,0.53,0.0,0.0,,141.0,266.0,0.53,0.53,72.0,104.0,0.692,55.0,140.0,195.0,83.0,11.0,40.0,44.0,60.0,354.0,,0.0
2009,28.0,LAL,NBA,C,23.0,23.0,931.0,160.0,276.0,0.58,0.0,0.0,,160.0,276.0,0.58,0.58,100.0,140.0,0.714,68.0,181.0,249.0,58.0,19.0,45.0,44.0,69.0,420.0,,0.0
2010,29.0,LAL,NBA,C,23.0,23.0,913.0,165.0,306.0,0.539,0.0,3.0,0.0,165.0,303.0,0.545,0.539,120.0,158.0,0.759,92.0,163.0,255.0,81.0,9.0,48.0,44.0,63.0,450.0,,0.0
2011,30.0,LAL,NBA,C,10.0,10.0,358.0,47.0,112.0,0.42,1.0,2.0,0.5,46.0,110.0,0.418,0.424,36.0,45.0,0.8,32.0,46.0,78.0,38.0,4.0,17.0,17.0,33.0,131.0,,0.0
2012,31.0,LAL,NBA,PF,12.0,12.0,444.0,62.0,143.0,0.434,2.0,5.0,0.4,60.0,138.0,0.435,0.441,24.0,29.0,0.828,38.0,76.0,114.0,44.0,6.0,25.0,20.0,36.0,150.0,,0.0
2013,32.0,LAL,NBA,PF,4.0,4.0,146.0,25.0,52.0,0.481,0.0,0.0,,25.0,52.0,0.481,0.481,6.0,11.0,0.545,7.0,39.0,46.0,26.0,2.0,3.0,13.0,4.0,56.0,,1.0
2015,34.0,CHI,NBA,PF,10.0,10.0,317.0,56.0,115.0,0.487,0.0,4.0,0.0,56.0,111.0,0.505,0.487,32.0,42.0,0.762,17.0,77.0,94.0,31.0,5.0,21.0,21.0,18.0,144.0,,0.0
2017,36.0,SAS,NBA,C,16.0,7.0,365.0,50.0,114.0,0.439,6.0,18.0,0.333,44.0,96.0,0.458,0.465,17.0,24.0,0.708,39.0,75.0,114.0,31.0,7.0,15.0,18.0,35.0,123.0,,0.0
2018,37.0,SAS,NBA,C,5.0,0.0,90.0,10.0,20.0,0.5,1.0,3.0,0.333,9.0,17.0,0.529,0.525,9.0,10.0,0.9,2.0,22.0,24.0,14.0,0.0,1.0,6.0,5.0,30.0,,0.0
