NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
7,Anthony Carter,PG,6-1,190,1975-06-16,US,5,Hawaii
19,Sam Cassell,PG,6-3,185,1969-11-18,US,11,Florida State
44,Ndudi Ebi,SG,6-9,200,1984-06-18,GB,1,
21,Kevin Garnett,PF,6-11,240,1976-05-19,US,9,
41,Eddie Griffin,PF,6-10,220,1982-05-30,US,2,Seton Hall
23,Trenton Hassell,SG,6-5,200,1979-03-04,US,3,Austin Peay State University
32,Fred Hoiberg,SG,6-4,203,1972-10-15,US,9,Iowa State
16,Troy Hudson,PG,6-1,170,1976-03-13,US,7,"Missouri, Southern Illinois"
40,Ervin Johnson,C,6-11,245,1967-12-21,US,11,New Orleans
35,Mark Madsen,C,6-9,240,1976-01-28,US,4,Stanford
34,Michael Olowokandi,C,7-0,269,1975-04-03,NG,6,University of the Pacific
8,Latrell Sprewell,SF,6-5,190,1970-09-08,US,12,Alabama
10,Wally Szczerbiak,SF,6-7,244,1977-03-05,ES,5,Miami University
12,John Thomas,C,6-9,265,1975-09-08,US,3,Minnesota
