Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989.0,20.0,2181,NYK,New York Knicks,Charles Oakley,25.0,9.0,9.0,33.2,3.9,8.1,0.48,0.1,0.2,0.5,3.8,7.9,0.48,0.49,1.8,2.7,0.67,4.8,6.4,11.2,1.2,1.3,0.1,2.4,3.4,9.7
1989.0,20.0,3120,NYK,New York Knicks,Eddie Lee Wilkins,26.0,7.0,0.0,3.7,0.7,1.6,0.46,0.0,0.0,,0.7,1.6,0.46,0.46,0.7,1.4,0.5,0.7,0.9,1.6,0.0,0.0,0.0,0.6,0.4,2.1
1989.0,20.0,3121,NYK,New York Knicks,Gerald Wilkins,25.0,9.0,9.0,32.2,7.0,14.6,0.48,0.1,1.1,0.1,6.9,13.4,0.51,0.48,2.0,2.6,0.78,1.0,2.7,3.7,4.7,1.3,0.3,2.4,3.0,16.1
,,437,,,Greg Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.0,20.0,2136,NYK,New York Knicks,Johnny Newman,25.0,9.0,9.0,28.7,5.6,11.9,0.47,0.8,3.1,0.25,4.8,8.8,0.54,0.5,4.2,5.4,0.78,1.4,1.3,2.8,1.9,0.9,0.1,2.0,3.0,16.1
1989.0,20.0,3003,NYK,New York Knicks,Kenny Walker,24.0,9.0,0.0,10.0,0.3,1.4,0.23,0.0,0.0,,0.3,1.4,0.23,0.23,1.6,2.1,0.74,0.6,1.2,1.8,0.2,0.1,0.3,0.4,2.4,2.2
1989.0,20.0,2954,NYK,New York Knicks,Kiki Vandeweghe,30.0,9.0,0.0,17.7,2.8,5.4,0.51,0.3,0.9,0.38,2.4,4.6,0.54,0.54,2.2,2.3,0.95,0.2,1.0,1.2,0.8,0.3,0.2,0.6,1.1,8.1
1989.0,20.0,1408,NYK,New York Knicks,Mark Jackson,23.0,9.0,9.0,37.3,5.7,11.1,0.51,1.2,3.1,0.39,4.4,8.0,0.56,0.56,2.1,3.1,0.68,0.8,2.7,3.4,10.1,1.1,0.3,3.1,1.0,14.7
1989.0,20.0,884,NYK,New York Knicks,Patrick Ewing,26.0,9.0,9.0,37.8,7.8,16.0,0.49,0.0,0.0,,7.8,16.0,0.49,0.49,4.3,5.8,0.75,2.6,7.4,10.0,2.2,1.0,2.0,1.7,3.9,19.9
1989.0,20.0,2099,NYK,New York Knicks,Pete Myers,25.0,4.0,0.0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,1.0,1.5,0.67,0.3,0.5,0.8,0.3,0.0,0.3,0.0,0.5,1.0
1989.0,20.0,2774,NYK,New York Knicks,Rod Strickland,22.0,9.0,0.0,12.3,2.4,5.4,0.45,0.1,0.1,1.0,2.3,5.3,0.44,0.46,1.0,1.9,0.53,0.7,0.8,1.4,2.8,0.4,0.1,1.4,2.3,6.0
1989.0,20.0,1114,NYK,New York Knicks,Sidney Green,28.0,9.0,0.0,14.2,1.4,3.3,0.43,0.0,0.0,,1.4,3.3,0.43,0.43,1.1,1.6,0.71,1.6,2.4,4.0,0.6,0.2,0.1,0.8,2.6,4.0
1989.0,20.0,2918,NYK,New York Knicks,Trent Tucker,29.0,9.0,0.0,17.7,3.0,6.4,0.47,1.7,3.6,0.47,1.3,2.9,0.46,0.6,0.2,0.4,0.5,1.0,1.1,2.1,1.6,1.1,0.2,0.7,2.2,7.9
