SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,2,BOS,Larry Bird,33,5,5,207,7.7,17.2,0.44,0.9,3.3,0.26,6.8,13.9,0.49,5.0,5.6,0.91,1.2,6.8,8.0,7.7,0.9,0.9,3.1,1.7,21.2
1990,2,BOS,Reggie Lewis,24,5,5,200,6.7,11.2,0.6,0.0,0.2,0.0,6.7,11.0,0.61,4.9,6.3,0.77,1.6,2.9,4.5,4.0,1.3,0.4,2.2,2.5,18.2
1990,2,BOS,Kevin McHale,32,5,5,192,7.9,12.9,0.61,0.2,0.6,0.33,7.7,12.4,0.62,4.7,5.4,0.86,1.5,5.8,7.3,2.4,0.4,1.9,2.6,3.2,20.6
1990,2,BOS,Robert Parish,36,5,5,170,6.6,11.4,0.57,0.0,0.0,,6.6,11.4,0.57,3.6,3.8,0.94,4.9,5.7,10.6,2.8,1.1,1.5,2.5,4.4,16.7
1990,2,BOS,Dennis Johnson,35,5,5,162,6.7,13.8,0.48,0.4,1.3,0.33,6.2,12.4,0.5,1.6,1.6,1.0,0.4,2.7,3.1,6.2,0.4,0.4,2.2,3.8,15.3
1990,2,BOS,Joe Kleine,28,5,0,79,5.9,7.7,0.76,0.0,0.5,0.0,5.9,7.3,0.81,2.3,2.7,0.83,1.4,5.0,6.4,0.9,0.9,1.4,1.8,5.5,14.1
1990,2,BOS,John Bagley,29,5,0,70,4.1,7.7,0.53,0.0,0.5,0.0,4.1,7.2,0.57,1.5,2.1,0.75,1.5,0.5,2.1,8.7,2.1,0.5,4.6,4.6,9.8
1990,2,BOS,Jim Paxson,32,5,0,62,4.6,9.3,0.5,0.0,0.6,0.0,4.6,8.7,0.53,1.7,2.3,0.75,0.0,0.0,0.0,4.1,2.9,0.0,1.7,0.6,11.0
1990,2,BOS,Ed Pinckney,26,4,0,25,8.6,10.1,0.86,0.0,0.0,,8.6,10.1,0.86,10.1,13.0,0.78,2.9,5.8,8.6,0.0,0.0,0.0,2.9,4.3,27.4
1990,2,BOS,Michael Smith,24,4,0,16,11.3,18.0,0.62,0.0,4.5,0.0,11.3,13.5,0.83,15.8,15.8,1.0,0.0,0.0,0.0,0.0,2.3,0.0,2.3,2.3,38.3
1990,2,BOS,Charles Smith,22,3,0,9,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,0.0,0.0,,4.0,0.0,4.0,12.0,4.0,0.0,0.0,0.0,8.0
1990,2,BOS,Kevin Gamble,24,3,0,8,13.5,22.5,0.6,0.0,0.0,,13.5,22.5,0.6,0.0,0.0,,4.5,0.0,4.5,9.0,0.0,0.0,4.5,4.5,27.0
