SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1990,6,CLE,Craig Ehlo,28,5,5,196,4.8,11.4,0.42,0.9,2.8,0.33,3.9,8.6,0.45,2.2,3.5,0.63,1.3,4.6,5.9,5.9,1.1,0.0,2.2,3.3,12.7
1990,6,CLE,Mark Price,25,5,5,192,6.0,11.4,0.52,1.1,3.2,0.35,4.9,8.2,0.59,5.6,5.6,1.0,0.0,2.6,2.6,8.2,1.7,0.2,2.8,1.7,18.7
1990,6,CLE,Brad Daugherty,24,5,5,186,7.9,13.5,0.59,0.0,0.0,,7.9,13.5,0.59,6.2,8.9,0.7,0.8,8.5,9.3,3.9,0.4,0.8,2.5,2.3,22.1
1990,6,CLE,Hot Rod Williams,27,5,0,174,8.1,14.5,0.56,0.0,0.0,,8.1,14.5,0.56,3.5,4.6,0.77,2.9,6.6,9.5,2.3,0.4,1.0,1.4,4.8,19.7
1990,6,CLE,Larry Nance,30,5,5,159,5.9,10.2,0.58,0.0,0.0,,5.9,10.2,0.58,2.0,2.7,0.75,0.9,4.5,5.4,2.7,0.7,2.3,0.9,4.5,13.8
1990,6,CLE,Winston Bennett,24,5,5,135,6.1,12.5,0.49,0.0,0.0,,6.1,12.5,0.49,1.1,1.6,0.67,3.7,1.9,5.6,1.3,0.8,0.3,1.1,2.9,13.3
1990,6,CLE,Steve Kerr,24,5,0,73,2.0,6.9,0.29,0.0,1.5,0.0,2.0,5.4,0.36,0.0,0.0,,0.5,2.5,3.0,4.9,2.0,0.0,1.0,3.0,3.9
1990,6,CLE,Tree Rollins,34,3,0,38,0.9,2.8,0.33,0.0,0.0,,0.9,2.8,0.33,5.7,7.6,0.75,0.0,7.6,7.6,0.9,1.9,0.9,2.8,6.6,7.6
1990,6,CLE,Derrick Chievous,22,3,0,28,7.7,12.9,0.6,0.0,0.0,,7.7,12.9,0.6,9.0,11.6,0.78,2.6,1.3,3.9,2.6,1.3,0.0,3.9,2.6,24.4
1990,6,CLE,Paul Mokeski,33,3,0,10,3.6,7.2,0.5,0.0,0.0,,3.6,7.2,0.5,7.2,7.2,1.0,0.0,7.2,7.2,0.0,3.6,3.6,0.0,7.2,14.4
1990,6,CLE,John Morton,22,2,0,9,8.0,20.0,0.4,0.0,0.0,,8.0,20.0,0.4,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,24.0
