PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Darwin Cook,23,2,86,4.3,0.39299999999999996,0.091,0.182,0.0,4.3,2.1,16.9,1.2,1.4,20.2,22.2,,-0.3,0.1,-0.2,-0.109,,-6.2,-2.2,-8.3,-0.1
Buck Williams,21,2,79,16.5,0.537,0.0,0.5770000000000001,15.9,15.6,15.8,6.4,0.6,1.6,10.9,19.9,,0.1,0.1,0.2,0.125,,1.1,-1.8,-0.7,0.0
Ray Williams,27,2,77,10.7,0.34600000000000003,0.106,0.106,11.9,6.4,9.2,30.9,2.6,0.0,10.9,30.7,,-0.2,0.1,-0.1,-0.057999999999999996,,-1.4,-1.5,-2.8,0.0
Len Elmore,29,2,76,12.6,0.619,0.0,0.25,1.5,24.3,12.5,4.0,0.7,1.6,10.1,11.1,,0.1,0.1,0.2,0.14,,-1.3,0.4,-0.9,0.0
Albert King,22,2,58,23.7,0.568,0.0,0.152,5.9,10.6,8.2,22.5,4.3,1.1,12.4,29.7,,0.1,0.1,0.2,0.18100000000000002,,4.4,3.4,7.8,0.1
Mike O'Koren,23,2,44,1.8,0.295,0.091,0.182,0.0,22.4,10.8,9.7,1.1,0.0,14.4,13.5,,-0.1,0.1,0.0,-0.053,,-9.9,-0.3,-10.1,-0.1
James Bailey,24,2,26,6.6,0.515,0.0,0.667,8.8,18.9,13.7,5.3,3.8,2.4,43.6,11.3,,0.0,0.1,0.0,0.019,,-8.2,2.1,-6.1,0.0
Jan van Breda Kolff,30,2,16,6.1,0.0,0.0,0.0,0.0,23.1,11.1,0.0,6.2,3.8,50.0,5.4,,0.0,0.0,0.0,-0.002,,-6.0,5.4,-0.6,0.0
Mike Gminski,22,1,10,15.6,0.644,0.0,0.667,0.0,24.6,11.9,0.0,0.0,0.0,0.0,16.6,,0.0,0.0,0.0,0.203,,-0.9,-0.2,-1.1,0.0
Ed Sherod,22,2,8,8.0,0.0,0.0,0.0,14.3,0.0,7.4,16.2,6.2,0.0,0.0,5.4,,0.0,0.0,0.0,0.055999999999999994,,-4.3,5.0,0.7,0.0
