PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Karl-Anthony Towns,23,77,77,2545,9.6,18.6,0.518,2.0,5.0,0.4,7.6,13.6,0.562,5.3,6.4,0.836,3.7,9.8,13.5,3.7,0.9,1.8,3.4,4.1,26.6
Andrew Wiggins,23,73,73,2543,7.0,17.1,0.41200000000000003,1.7,4.9,0.33899999999999997,5.4,12.2,0.441,2.9,4.2,0.6990000000000001,1.2,3.8,5.0,2.6,1.0,0.7,2.0,2.2,18.7
Josh Okogie,20,74,52,1757,4.0,10.4,0.386,1.2,4.4,0.27899999999999997,2.8,6.0,0.46399999999999997,2.4,3.3,0.728,0.8,3.6,4.5,1.9,1.8,0.7,1.3,3.4,11.7
Taj Gibson,33,70,57,1686,6.5,11.5,0.5660000000000001,0.2,0.7,0.324,6.3,10.7,0.583,2.9,3.8,0.757,3.7,6.1,9.8,1.8,1.1,0.8,1.6,4.0,16.1
Dario Šarić,24,68,28,1627,5.7,12.5,0.45399999999999996,2.1,5.6,0.38299999999999995,3.5,6.9,0.511,2.3,2.7,0.875,2.3,5.9,8.2,2.2,0.9,0.1,1.6,3.2,15.8
Tyus Jones,22,68,23,1560,4.3,10.3,0.415,0.9,2.9,0.317,3.3,7.4,0.45299999999999996,1.3,1.6,0.841,0.5,2.6,3.1,7.5,1.9,0.1,1.1,1.8,10.8
Derrick Rose,30,51,13,1392,9.4,19.5,0.48200000000000004,1.4,3.8,0.37,8.0,15.7,0.509,3.5,4.1,0.856,0.9,2.8,3.6,5.7,0.8,0.3,2.1,1.5,23.7
Jeff Teague,30,42,41,1264,5.0,11.8,0.423,1.0,3.0,0.33299999999999996,4.0,8.9,0.45299999999999996,3.5,4.4,0.804,0.5,2.6,3.0,9.8,1.2,0.5,2.8,2.6,14.5
Anthony Tolliver,33,65,0,1079,3.3,8.6,0.382,2.7,7.2,0.377,0.6,1.5,0.409,1.6,2.0,0.7829999999999999,0.5,5.4,5.9,1.5,0.6,0.7,1.2,3.0,10.9
Gorgui Dieng,29,76,2,1031,6.6,13.2,0.501,0.7,2.0,0.33899999999999997,5.9,11.2,0.53,3.1,3.7,0.83,2.8,8.0,10.9,2.5,1.7,1.4,2.0,4.7,16.9
Robert Covington,28,22,22,763,5.0,11.6,0.433,2.6,7.0,0.37200000000000005,2.4,4.6,0.526,2.4,3.1,0.773,1.0,5.0,5.9,1.5,2.4,1.1,1.2,3.8,15.0
Jerryd Bayless,30,34,6,657,4.5,12.6,0.35700000000000004,1.6,5.4,0.29600000000000004,2.9,7.2,0.402,0.9,1.5,0.5710000000000001,0.6,2.8,3.4,6.5,1.0,0.1,1.8,3.1,11.5
Keita Bates-Diop,23,30,3,503,4.3,10.2,0.423,0.9,3.7,0.25,3.4,6.4,0.522,1.3,2.0,0.643,1.1,4.8,5.9,1.2,1.3,1.0,1.0,2.1,10.8
Luol Deng,33,22,2,392,5.4,10.8,0.5,1.3,4.0,0.318,4.1,6.8,0.608,2.3,3.2,0.7140000000000001,1.8,4.9,6.7,1.7,1.4,0.7,1.3,2.2,14.4
Jimmy Butler,29,10,10,361,7.4,15.7,0.47100000000000003,1.7,4.5,0.37799999999999995,5.7,11.2,0.509,4.8,6.1,0.787,1.6,3.6,5.2,4.3,2.4,1.0,1.4,1.8,21.2
Cameron Reynolds,23,19,0,259,4.6,10.8,0.423,2.9,7.1,0.41200000000000003,1.7,3.8,0.444,1.1,1.3,0.889,0.6,3.8,4.3,1.8,0.8,0.3,0.7,3.6,13.2
C.J. Williams,28,15,0,128,4.8,9.8,0.486,1.4,4.5,0.313,3.4,5.3,0.632,0.0,0.3,0.0,0.3,2.0,2.3,3.4,1.7,0.0,1.4,4.5,11.0
Jared Terrell,23,14,0,111,3.9,12.6,0.308,1.3,5.5,0.235,2.6,7.1,0.364,1.0,1.9,0.5,0.3,1.6,1.9,3.9,1.0,0.6,3.2,5.2,10.1
Isaiah Canaan,27,7,1,95,4.2,11.0,0.379,2.7,7.2,0.368,1.5,3.8,0.4,1.5,1.5,1.0,0.0,1.9,1.9,7.2,0.8,0.4,1.5,1.5,12.5
James Nunnally,28,13,0,64,5.1,11.8,0.429,2.8,7.3,0.385,2.3,4.5,0.5,2.3,2.3,1.0,0.0,2.3,2.3,2.8,0.6,0.0,0.6,2.3,15.2
Mitch Creek,26,1,0,12,9.0,18.0,0.5,0.0,3.0,0.0,9.0,15.0,0.6,0.0,0.0,,3.0,3.0,6.0,3.0,3.0,0.0,3.0,0.0,18.0
