Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1989,22.0,DAL,NBA,PG,51.0,1.0,408.0,5.6,14.0,0.404,0.7,2.9,0.25,4.9,11.0,0.444,1.6,2.0,0.813,1.6,4.2,5.8,9.3,3.1,0.7,4.2,7.5,13.6,,94.0,107.0
1990,23.0,ORL,NBA,PG,40.0,2.0,638.0,6.6,15.0,0.442,1.2,3.3,0.37,5.4,11.7,0.463,2.0,2.7,0.737,0.9,2.8,3.8,8.2,3.3,0.2,4.6,4.7,16.5,,97.0,113.0
1991,24.0,ORL,NBA,PG,34.0,0.0,350.0,6.2,14.9,0.417,0.8,1.7,0.5,5.4,13.2,0.406,2.3,3.4,0.68,0.6,1.8,2.3,10.1,3.3,0.0,4.7,5.1,15.6,,95.0,110.0
1992,25.0,TOT,NBA,PG,53.0,19.0,870.0,4.7,10.9,0.43,0.8,2.4,0.333,3.9,8.5,0.457,1.4,2.0,0.686,1.4,3.2,4.6,10.2,2.7,0.2,3.4,5.0,11.5,,103.0,110.0
1992,25.0,ORL,NBA,PG,9.0,0.0,90.0,4.9,15.2,0.321,0.0,2.2,0.0,4.9,13.1,0.375,1.6,2.7,0.6,1.1,2.7,3.8,7.1,2.2,0.0,4.4,7.1,11.4,,75.0,112.0
1992,25.0,SAS,NBA,PG,3.0,0.0,13.0,11.5,19.2,0.6,0.0,0.0,,11.5,19.2,0.6,0.0,0.0,,0.0,3.8,3.8,3.8,0.0,0.0,0.0,11.5,23.0,,131.0,111.0
1992,25.0,ATL,NBA,PG,41.0,19.0,767.0,4.5,10.2,0.444,0.9,2.4,0.368,3.6,7.8,0.467,1.3,1.9,0.7,1.4,3.3,4.7,10.6,2.8,0.2,3.3,4.7,11.3,,106.0,110.0
1993,26.0,TOT,NBA,PG,58.0,15.0,995.0,4.7,12.4,0.378,2.6,7.5,0.351,2.1,4.9,0.42,0.8,1.3,0.654,1.4,3.0,4.4,8.8,3.2,0.1,3.9,6.2,12.8,,99.0,112.0
1993,26.0,ATL,NBA,PG,25.0,2.0,354.0,3.6,11.3,0.321,2.1,7.1,0.294,1.5,4.2,0.367,0.7,1.1,0.625,1.3,3.6,4.9,11.3,3.6,0.3,4.0,6.8,10.0,,96.0,109.0
1993,26.0,DAL,NBA,PG,33.0,13.0,641.0,5.3,13.0,0.405,2.9,7.8,0.379,2.3,5.3,0.443,0.9,1.4,0.667,1.5,2.7,4.2,7.5,2.9,0.1,3.8,5.9,14.4,,101.0,115.0
1994,27.0,TOT,NBA,PG,16.0,0.0,158.0,2.9,9.3,0.31,1.0,3.2,0.3,1.9,6.1,0.316,0.0,0.0,,0.0,3.2,3.2,7.4,4.8,0.0,5.5,6.8,6.8,,67.0,105.0
1994,27.0,MIA,NBA,PG,4.0,0.0,34.0,4.5,12.0,0.375,1.5,6.0,0.25,3.0,6.0,0.5,0.0,0.0,,0.0,6.0,6.0,10.5,3.0,0.0,9.0,6.0,10.5,,70.0,105.0
1994,27.0,DAL,NBA,PG,12.0,0.0,124.0,2.5,8.6,0.286,0.8,2.5,0.333,1.6,6.1,0.267,0.0,0.0,,0.0,2.5,2.5,6.6,5.3,0.0,4.5,7.0,5.7,,65.0,105.0
1995,28.0,TOT,NBA,PG,43.0,2.0,424.0,6.0,14.0,0.427,3.6,9.5,0.38,2.4,4.6,0.526,0.8,1.2,0.7,0.7,4.4,5.2,9.0,2.6,0.2,2.8,5.3,16.4,,119.0,110.0
1995,28.0,DAL,NBA,PG,38.0,2.0,407.0,5.9,13.8,0.423,3.6,9.3,0.387,2.2,4.5,0.5,0.9,1.2,0.7,0.7,4.1,4.9,8.6,2.6,0.1,2.4,5.5,16.2,,122.0,110.0
1995,28.0,ATL,NBA,PG,5.0,0.0,17.0,9.4,18.9,0.5,3.1,12.6,0.25,6.3,6.3,1.0,0.0,0.0,,0.0,12.6,12.6,18.9,3.1,3.1,12.6,0.0,22.0,,91.0,97.0
