SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1983,27,SAS,George Gervin,30,78,2830,20.5,0.56,0.02,0.39,4.4,9.1,6.9,14.0,1.4,1.3,12.0,29.1,7.6,1.8,9.4,0.16,2.9,-1.1,1.8,2.7
1983,27,SAS,Mike Mitchell,27,80,2803,16.9,0.54,0.0,0.22,7.6,13.1,10.4,5.1,0.9,1.0,7.9,22.7,5.9,1.7,7.6,0.13,1.1,-1.8,-0.7,0.9
1983,27,SAS,Artis Gilmore,33,82,2797,21.2,0.67,0.01,0.56,12.1,25.8,19.2,6.1,0.7,3.7,18.7,19.4,7.5,3.5,11.0,0.19,2.7,0.2,2.8,3.4
1983,27,SAS,Gene Banks,23,81,2722,16.7,0.58,0.0,0.3,9.2,15.1,12.3,13.7,1.3,0.4,14.1,17.7,5.9,2.0,7.9,0.14,2.2,-0.5,1.7,2.5
1983,27,SAS,Johnny Moore,24,77,2552,17.5,0.51,0.03,0.24,2.9,8.7,5.9,37.8,3.5,0.7,19.6,18.0,3.8,2.8,6.6,0.12,1.8,1.2,3.0,3.2
1983,27,SAS,Mike Dunleavy,28,79,1619,14.0,0.53,0.38,0.3,1.3,7.5,4.5,33.6,2.1,0.1,21.7,18.2,2.1,1.0,3.1,0.09,0.7,-1.0,-0.3,0.7
1983,27,SAS,Bill Willoughby,25,52,1062,9.1,0.5,0.04,0.18,6.5,12.8,9.8,6.5,1.0,0.8,15.0,14.0,0.5,0.7,1.2,0.05,-1.9,-0.7,-2.6,-0.2
1983,27,SAS,Paul Griffin,29,53,956,8.9,0.58,0.0,0.66,9.1,15.3,12.3,10.3,1.6,1.4,31.3,9.1,0.5,0.9,1.4,0.07,-1.8,1.2,-0.6,0.3
1983,27,SAS,Edgar Jones,26,28,622,14.7,0.57,0.02,0.62,10.2,20.5,15.5,4.1,1.0,2.7,15.5,17.8,1.0,0.7,1.7,0.13,-1.4,-0.3,-1.7,0.1
1983,27,SAS,Roger Phegley,26,62,599,13.0,0.49,0.05,0.21,7.4,7.9,7.6,13.6,2.3,0.7,14.4,22.7,0.3,0.5,0.8,0.06,-1.8,-0.4,-2.2,0.0
1983,27,SAS,Mike Sanders,22,26,393,14.2,0.52,0.01,0.27,8.9,16.9,13.0,6.5,2.1,0.8,13.7,20.7,0.4,0.4,0.8,0.09,-1.4,-0.4,-1.8,0.0
1983,27,SAS,Ed Rains,26,34,292,8.2,0.47,0.01,0.52,9.7,6.8,8.2,9.2,1.6,0.2,19.7,17.3,-0.1,0.1,0.1,0.02,-2.9,-1.3,-4.1,-0.2
1983,27,SAS,Geoff Crompton,27,14,148,9.7,0.43,0.0,0.15,13.8,21.3,17.7,5.6,0.9,1.8,12.1,11.1,0.1,0.1,0.2,0.08,-2.6,-0.4,-2.9,0.0
1983,27,SAS,Oliver Robinson,22,35,147,14.1,0.43,0.11,0.46,4.6,7.9,6.3,20.5,1.3,0.7,10.0,35.2,0.0,0.1,0.1,0.02,-3.1,-1.9,-5.0,-0.1
1983,27,SAS,Billy Paultz,34,7,125,9.4,0.45,0.0,0.07,9.1,19.4,14.4,3.8,1.9,2.6,17.7,10.8,0.0,0.2,0.1,0.05,-2.4,0.3,-2.0,0.0
1983,27,SAS,Jim Johnstone,22,7,54,1.7,0.29,0.0,0.5,8.4,23.4,16.2,2.1,0.9,1.0,24.7,12.0,-0.1,0.1,-0.1,-0.06,-4.8,-0.6,-5.4,-0.1
1983,27,SAS,Coby Dietrick,34,8,34,4.9,0.17,0.0,0.4,6.7,18.6,12.8,19.5,1.4,0.0,14.5,8.1,0.0,0.0,0.0,-0.0,-4.1,0.3,-3.8,0.0
1983,27,SAS,Robert Smith,27,7,25,7.8,0.5,0.09,0.18,0.0,12.6,6.5,10.9,1.9,0.0,20.2,23.7,0.0,0.0,0.0,-0.01,-4.9,-0.1,-5.0,0.0
