NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
42,Mark Acres,C,6-11,220,1962-11-15,US,5,Oral Roberts
1,Scott Brooks,PG,5-11,165,1965-07-31,US,4,"TCU, University of California, Irvine"
50,Matt Bullard,PF,6-10,215,1967-06-05,US,2,"Colorado, Iowa"
21,Sleepy Floyd,PG,6-3,170,1960-03-06,US,10,Georgetown
22,Winston Garland,PG,6-2,170,1964-12-19,US,5,Missouri State University
7,Carl Herrera,PF,6-9,215,1966-12-14,TT,1,"Jacksonville University, Houston"
25,Robert Horry,SF,6-10,240,1970-08-25,US,R,Alabama
11,Vernon Maxwell,SG,6-4,180,1965-09-12,US,4,Florida
34,Hakeem Olajuwon,C,7-0,255,1963-01-21,NG,8,Houston
15,Tree Rollins,C,7-1,235,1955-06-16,US,15,Clemson
30,Kenny Smith,PG,6-3,170,1965-03-08,US,5,UNC
10,Terry Teagle,SG,6-5,195,1960-04-10,US,10,Baylor
33,Otis Thorpe,PF,6-9,225,1962-08-05,US,8,Providence
20,Kennard Winchester,SG,6-5,210,1966-09-03,US,2,"James Madison University, Averett University"
