NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2,Keith Askins,SF,6-7,197,1967-12-15,US,2,Alabama
34,Willie Burton,SF,6-8,210,1968-05-26,US,2,Minnesota
12,Bimbo Coles,PG,6-1,180,1968-04-22,US,2,Virginia Tech
21,Kevin Edwards,SG,6-3,190,1965-10-30,US,4,DePaul
52,Matt Geiger,C,7-0,243,1969-09-10,US,R,"Auburn, Georgia Tech"
33,Alec Kessler,PF,6-11,230,1967-01-13,US,2,Georgia
43,Grant Long,PF,6-8,225,1966-03-12,US,4,Eastern Michigan
32,Harold Miner,SG,6-5,210,1971-05-05,US,R,USC
41,Glen Rice,SF,6-7,215,1967-05-28,US,3,Michigan
22,John Salley,PF,6-11,230,1964-05-16,US,6,Georgia Tech
4,Rony Seikaly,C,6-11,230,1965-05-10,LB,4,Syracuse
20,Brian Shaw,PG,6-6,190,1966-03-22,US,3,"Saint Mary's, UC Santa Barbara"
3,Steve Smith,SG,6-7,200,1969-03-31,US,1,Michigan State
