Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,,2035,,,Andre Moore,,,,,,,,,,,,,,,,,,,,,,,,,
,,682,,,Charles Davis,,,,,,,,,,,,,,,,,,,,,,,,,
,,1259,,,Conner Henry,,,,,,,,,,,,,,,,,,,,,,,,,
,,1304,,,Craig Hodges,,,,,,,,,,,,,,,,,,,,,,,,,
,,1321,,,Dave Hoppen,,,,,,,,,,,,,,,,,,,,,,,,,
,,324,,,Dudley Bradley,,,,,,,,,,,,,,,,,,,,,,,,,
1988.0,17.0,2625,MIL,Milwaukee Bucks,Jack Sikma,32.0,5.0,5.0,190.0,6.6,14.4,0.46,0.0,0.6,0.0,6.6,13.8,0.48,4.7,5.7,0.83,4.5,7.2,11.7,2.5,0.4,0.8,2.8,4.4,18.0
1988.0,17.0,1360,MIL,Milwaukee Bucks,Jay Humphries,25.0,2.0,0.0,18.0,0.0,10.0,0.0,0.0,0.0,,0.0,10.0,0.0,0.0,0.0,,2.0,4.0,6.0,2.0,2.0,0.0,2.0,12.0,0.0
1988.0,17.0,2432,MIL,Milwaukee Bucks,Jerry Reynolds,25.0,3.0,0.0,12.0,12.0,18.0,0.67,0.0,0.0,,12.0,18.0,0.67,0.0,0.0,,0.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,24.0
1988.0,17.0,1783,MIL,Milwaukee Bucks,John Lucas,34.0,5.0,0.0,80.0,4.5,12.2,0.37,1.4,5.9,0.23,3.2,6.3,0.5,2.7,4.1,0.67,2.3,1.4,3.6,8.6,2.3,0.0,2.7,2.3,13.1
1988.0,17.0,2775,MIL,Milwaukee Bucks,John Stroeder,29.0,1.0,0.0,1.0,36.0,36.0,1.0,36.0,36.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
1988.0,17.0,1658,MIL,Milwaukee Bucks,Larry Krystkowiak,23.0,5.0,5.0,163.0,2.9,6.4,0.45,0.0,0.0,,2.9,6.4,0.45,3.5,4.0,0.89,2.9,4.6,7.5,1.5,0.9,0.0,1.1,3.8,9.3
,,1831,,,Pace Mannion,,,,,,,,,,,,,,,,,,,,,,,,,
1988.0,17.0,2022,MIL,Milwaukee Bucks,Paul Mokeski,31.0,4.0,0.0,40.0,4.5,12.6,0.36,0.0,0.0,,4.5,12.6,0.36,3.6,5.4,0.67,4.5,3.6,8.1,0.0,2.7,1.8,1.8,3.6,12.6
1988.0,17.0,2354,MIL,Milwaukee Bucks,Paul Pressey,29.0,5.0,5.0,178.0,4.7,10.1,0.46,0.2,0.6,0.33,4.4,9.5,0.47,4.7,6.1,0.77,1.2,2.6,3.8,6.7,0.8,0.6,3.2,4.2,14.2
1988.0,17.0,341,MIL,Milwaukee Bucks,Randy Breuer,27.0,4.0,0.0,47.0,6.9,12.3,0.56,0.0,0.0,,6.9,12.3,0.56,0.8,4.6,0.17,1.5,7.7,9.2,0.8,0.8,1.5,0.8,5.4,14.6
,,3207,,,Rickie Winslow,,,,,,,,,,,,,,,,,,,,,,,,,
1988.0,17.0,2305,MIL,Milwaukee Bucks,Ricky Pierce,28.0,5.0,0.0,105.0,8.6,18.2,0.47,0.3,1.7,0.2,8.2,16.5,0.5,2.7,3.1,0.89,2.1,2.7,4.8,3.1,0.3,0.7,1.4,3.1,20.2
1988.0,17.0,2024,MIL,Milwaukee Bucks,Sidney Moncrief,30.0,5.0,5.0,173.0,5.0,10.4,0.48,0.2,0.2,1.0,4.8,10.2,0.47,5.4,5.6,0.96,1.2,2.7,4.0,5.4,0.6,0.2,2.3,2.9,15.6
1988.0,17.0,644,MIL,Milwaukee Bucks,Terry Cummings,26.0,5.0,5.0,193.0,9.3,16.6,0.56,0.0,0.0,,9.3,16.6,0.56,5.4,8.2,0.66,2.2,5.0,7.3,2.4,1.7,0.6,2.2,3.0,24.1
