Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,25,POR,Portland Trail Blazers,Clyde Drexler,25,4,4,170,6.8,17.6,0.39,0.6,1.3,0.5,6.1,16.3,0.38,4.4,6.1,0.72,2.5,3.4,5.9,4.4,2.5,0.4,2.5,3.0,18.6,786
1988,25,POR,Portland Trail Blazers,Kevin Duckworth,23,4,4,151,8.1,16.7,0.49,0.0,0.2,0.0,8.1,16.5,0.49,4.3,5.5,0.78,4.8,5.7,10.5,1.7,0.2,0.5,5.0,3.3,20.5,791
1988,25,POR,Portland Trail Blazers,Terry Porter,24,4,4,149,7.0,12.6,0.56,0.2,0.7,0.33,6.8,11.8,0.57,2.2,3.1,0.69,1.0,2.4,3.4,6.8,2.4,0.0,3.1,3.1,16.4,2341
1988,25,POR,Portland Trail Blazers,Jerome Kersey,25,4,4,127,9.1,18.4,0.49,0.0,0.3,0.0,9.1,18.1,0.5,4.3,6.0,0.71,4.8,3.7,8.5,2.6,2.0,1.1,1.4,4.8,22.4,1599
1988,25,POR,Portland Trail Blazers,Caldwell Jones,37,4,4,98,2.2,5.9,0.38,0.0,0.0,,2.2,5.9,0.38,0.4,0.7,0.5,1.5,4.8,6.2,0.4,0.7,2.9,0.7,6.2,4.8,1528
1988,25,POR,Portland Trail Blazers,Kiki Vandeweghe,29,4,0,72,5.5,20.0,0.28,0.0,2.5,0.0,5.5,17.5,0.31,4.5,4.5,1.0,1.5,5.0,6.5,3.5,0.5,0.0,1.5,4.0,15.5,2954
1988,25,POR,Portland Trail Blazers,Richard Anderson,27,3,0,63,6.3,13.7,0.46,3.4,8.0,0.43,2.9,5.7,0.5,2.3,2.3,1.0,2.9,4.6,7.4,0.6,1.1,0.6,1.1,6.3,18.3,81
1988,25,POR,Portland Trail Blazers,Maurice Lucas,35,4,0,63,2.3,7.4,0.31,0.0,0.0,,2.3,7.4,0.31,1.1,2.3,0.5,5.1,9.1,14.3,2.9,0.6,0.0,2.9,6.9,5.7,1785
1988,25,POR,Portland Trail Blazers,Michael Holton,26,4,0,34,3.2,13.8,0.23,0.0,1.1,0.0,3.2,12.7,0.25,0.0,0.0,,1.1,4.2,5.3,6.4,2.1,0.0,1.1,6.4,6.4,1316
1988,25,POR,Portland Trail Blazers,Jerry Sichting,31,4,0,31,2.3,8.1,0.29,0.0,0.0,,2.3,8.1,0.29,0.0,0.0,,1.2,1.2,2.3,5.8,1.2,0.0,0.0,4.6,4.6,2624
1988,25,POR,Portland Trail Blazers,Charles Jones,26,2,0,2,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1531
