PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Isiah Thomas,23,9,355,22.7,0.5670000000000001,0.09,0.373,3.1,11.2,7.0,40.0,2.5,0.6,13.4,24.6,,1.0,0.3,1.2,0.165,,5.5,1.8,7.3,0.8
Bill Laimbeer,27,9,325,14.0,0.51,0.019,0.47700000000000004,11.3,20.3,15.6,5.8,1.0,1.2,11.0,17.5,,0.3,0.2,0.6,0.083,,0.1,-1.0,-0.9,0.1
Kelly Tripucka,25,9,288,12.1,0.49,0.008,0.33899999999999997,6.7,7.7,7.2,13.0,0.6,0.6,12.3,21.0,,0.1,0.1,0.2,0.033,,-0.1,-1.8,-2.0,0.0
John Long,28,9,255,11.7,0.502,0.038,0.14300000000000002,4.0,3.0,3.5,6.7,2.6,0.4,9.0,18.8,,0.1,0.1,0.3,0.047,,-1.3,0.2,-1.1,0.1
Vinnie Johnson,28,9,235,16.0,0.555,0.028999999999999998,0.272,6.5,5.6,6.1,17.2,1.2,0.2,11.5,21.7,,0.4,0.1,0.5,0.09300000000000001,,1.9,-0.3,1.6,0.2
Dan Roundfield,31,9,215,13.5,0.5429999999999999,0.0,0.25,9.0,21.0,14.8,8.8,0.9,1.5,16.6,16.4,,0.1,0.2,0.3,0.07,,-0.3,0.3,0.0,0.1
Terry Tyler,28,9,179,18.9,0.536,0.01,0.27,8.5,15.4,11.8,2.5,1.6,1.2,7.4,26.4,,0.3,0.1,0.4,0.111,,1.5,-0.4,1.1,0.1
Kent Benson,30,9,142,15.2,0.599,0.0,0.326,6.4,21.0,13.4,3.7,2.6,0.8,10.2,16.1,,0.3,0.2,0.4,0.139,,-0.9,2.1,1.2,0.1
Earl Cureton,27,9,133,12.0,0.48700000000000004,0.028999999999999998,0.265,7.6,25.7,16.3,3.6,3.1,0.8,9.5,12.3,,0.1,0.2,0.2,0.087,,-1.9,2.1,0.2,0.1
Brook Steppe,25,4,20,4.7,0.415,0.14300000000000002,0.857,5.1,11.0,7.9,11.8,0.0,0.0,17.2,22.7,,0.0,0.0,0.0,-0.087,,-5.9,-3.2,-9.0,0.0
Tony Campbell,22,2,9,6.0,0.33299999999999996,0.0,0.0,0.0,24.5,11.8,13.3,0.0,0.0,0.0,13.0,,0.0,0.0,0.0,-0.008,,-4.5,-0.7,-5.1,0.0
Major Jones,31,1,4,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,,0.0,0.0,0.0,0.177,,4.7,-0.2,4.4,0.0
