Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1992,24.0,GSW,NBA,PF,54.0,612.0,18.2,0.602,0.019,0.529,13.6,18.8,16.3,3.5,2.4,3.5,14.8,19.5,,1.2,0.8,2.0,0.156,,0.1,0.4,0.5,0.4
1993,25.0,GSW,NBA,PF,70.0,1248.0,16.8,0.586,0.013,0.448,11.5,17.1,14.3,4.8,1.7,2.6,15.6,21.4,,1.8,1.3,3.1,0.12,,-1.0,-0.3,-1.3,0.2
1994,26.0,GSW,NBA,C,82.0,1296.0,18.7,0.607,0.002,0.451,12.2,20.8,16.6,4.7,1.5,3.0,13.2,20.3,,2.8,1.7,4.5,0.168,,-0.1,-0.2,-0.4,0.6
1995,27.0,GSW,NBA,PF,58.0,1470.0,19.5,0.64,0.002,0.488,10.7,22.7,16.7,5.9,1.3,2.4,15.8,21.2,,2.6,1.4,3.9,0.129,,0.6,-0.5,0.1,0.8
1996,28.0,TOT,NBA,PF,71.0,1427.0,19.9,0.601,0.002,0.365,10.5,23.2,16.9,5.8,1.3,2.1,12.6,23.4,,2.7,2.0,4.6,0.156,,0.5,-0.4,0.1,0.7
1996,28.0,GSW,NBA,PF,47.0,862.0,17.0,0.582,0.003,0.429,10.3,22.1,16.2,5.2,1.1,2.4,14.1,21.5,,1.2,0.9,2.1,0.114,,-1.0,-1.1,-2.1,0.0
1996,28.0,MIA,NBA,PF,24.0,565.0,24.4,0.625,0.0,0.29,10.8,25.0,18.0,6.6,1.6,1.5,10.7,26.3,,1.5,1.1,2.6,0.219,,2.8,0.6,3.4,0.8
1997,29.0,TOT,NBA,PF,47.0,1283.0,23.9,0.58,0.01,0.528,11.9,21.7,16.7,4.7,1.6,1.9,13.5,31.7,,2.4,1.5,3.9,0.145,,2.5,-1.6,0.8,0.9
1997,29.0,DAL,NBA,PF,44.0,1191.0,24.4,0.585,0.01,0.54,12.1,22.0,17.0,4.7,1.6,2.1,13.7,32.1,,2.2,1.4,3.7,0.147,,2.7,-1.7,1.0,0.9
1997,29.0,NJN,NBA,PF,3.0,92.0,16.9,0.51,0.0,0.372,8.9,17.5,12.9,5.8,2.3,0.0,10.7,26.0,,0.1,0.1,0.2,0.108,,-0.6,-1.0,-1.6,0.0
1998,30.0,NJN,NBA,PF,57.0,1359.0,16.0,0.496,0.007,0.486,9.4,19.7,14.2,6.7,2.0,1.6,13.0,24.3,,0.9,1.5,2.4,0.084,,-1.0,-1.1,-2.0,0.0
1999,31.0,TOT,NBA,C,48.0,775.0,10.1,0.445,0.03,0.351,7.7,19.4,13.5,7.3,2.2,1.0,16.9,22.0,,-1.0,0.9,-0.1,-0.003,,-4.6,-0.9,-5.5,-0.7
1999,31.0,NJN,NBA,C,18.0,281.0,5.5,0.39,0.01,0.247,7.8,18.3,12.8,7.4,1.5,1.0,21.2,21.4,,-0.8,0.2,-0.5,-0.09,,-6.5,-1.2,-7.7,-0.4
1999,31.0,MIL,NBA,C,30.0,494.0,12.6,0.474,0.042,0.411,7.7,20.0,13.9,7.2,2.7,1.0,14.3,22.4,,-0.2,0.7,0.5,0.046,,-3.5,-0.7,-4.2,-0.3
2001,33.0,CLE,NBA,PF,74.0,1670.0,15.6,0.505,0.126,0.311,6.9,20.2,13.6,6.9,1.6,1.2,12.5,25.8,,0.8,1.6,2.4,0.068,,-0.7,-1.2,-1.9,0.0
2002,34.0,MIA,NBA,PF,54.0,809.0,13.4,0.501,0.027,0.399,10.3,19.3,14.9,5.7,1.2,1.0,14.4,23.7,,0.1,1.3,1.4,0.081,,-2.5,-0.6,-3.1,-0.2
