PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Kiki Vandeweghe,26,72,69,34.8,8.6,16.1,0.534,0.2,0.5,0.33299999999999996,8.4,15.6,0.54,0.5379999999999999,5.1,5.7,0.8959999999999999,1.0,2.1,3.2,1.5,0.5,0.3,1.6,1.6,22.4
Jim Paxson,27,68,57,33.1,7.5,14.5,0.514,0.1,0.6,0.154,7.4,14.0,0.529,0.517,2.9,3.6,0.79,1.0,2.3,3.3,3.9,1.5,0.1,1.6,1.7,17.9
Mychal Thompson,30,79,55,33.1,7.2,14.1,0.515,0.0,0.0,,7.2,14.1,0.515,0.515,3.9,5.7,0.684,2.7,5.2,7.8,2.6,1.0,1.3,2.9,2.7,18.4
Clyde Drexler,22,80,43,31.9,7.2,14.5,0.494,0.1,0.5,0.21600000000000003,7.1,14.1,0.503,0.49700000000000005,2.8,3.7,0.759,2.7,3.2,6.0,5.5,2.2,0.9,2.8,3.3,17.2
Darnell Valentine,25,75,59,30.4,4.3,9.1,0.473,0.0,0.0,0.0,4.3,9.0,0.474,0.473,3.1,3.9,0.7929999999999999,0.7,2.2,2.9,7.0,1.9,0.1,2.6,2.5,11.6
Sam Bowie,23,76,62,29.2,3.9,7.3,0.537,0.0,0.0,,3.9,7.3,0.537,0.537,2.1,3.0,0.711,2.7,5.9,8.6,2.8,0.7,2.7,2.3,3.7,10.0
Kenny Carr,29,48,30,23.3,4.0,7.6,0.523,0.0,0.1,0.0,4.0,7.5,0.528,0.523,2.5,3.4,0.72,1.9,4.9,6.7,1.2,0.5,0.4,2.1,2.9,10.4
Steve Colter,22,78,22,18.7,2.8,6.1,0.45299999999999996,0.3,0.9,0.35100000000000003,2.4,5.2,0.47100000000000003,0.48,1.3,1.7,0.754,0.5,1.4,1.9,3.1,1.0,0.1,1.4,1.8,7.1
Audie Norris,24,78,13,14.3,1.7,3.1,0.5429999999999999,0.0,0.0,0.0,1.7,3.1,0.55,0.5429999999999999,1.7,2.6,0.665,1.2,2.1,3.2,0.6,0.5,0.4,1.3,2.8,5.1
Jerome Kersey,22,77,0,12.4,2.3,4.8,0.478,0.0,0.0,0.0,2.3,4.8,0.48200000000000004,0.478,1.5,2.4,0.6459999999999999,1.2,1.4,2.7,0.8,0.6,0.4,0.9,1.9,6.1
Bernard Thompson,22,59,0,9.1,1.3,3.6,0.373,0.0,0.1,0.0,1.3,3.5,0.387,0.373,0.7,0.9,0.765,0.6,0.7,1.3,0.9,0.5,0.2,0.6,1.3,3.3
Tom Scheffler,30,39,0,6.9,0.5,1.3,0.41200000000000003,0.0,0.0,,0.5,1.3,0.41200000000000003,0.41200000000000003,0.3,0.5,0.5,0.5,1.5,1.9,0.3,0.2,0.3,0.4,1.2,1.3
