SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,16,MIA,Dwyane Wade,28,5,5,210,10.6,18.9,0.56,2.6,6.3,0.4,8.1,12.5,0.64,4.6,6.9,0.68,1.0,3.8,4.8,5.8,1.4,1.4,4.5,2.7,28.5
2010,16,MIA,Quentin Richardson,29,5,5,149,4.3,10.9,0.4,2.2,5.3,0.41,2.2,5.6,0.39,1.0,1.2,0.8,0.2,4.3,4.6,1.9,1.9,0.2,1.2,3.9,11.8
2010,16,MIA,Udonis Haslem,29,5,0,142,3.3,9.4,0.35,0.0,0.0,,3.3,9.4,0.35,1.0,1.5,0.67,2.3,7.1,9.4,1.0,0.3,0.3,1.3,4.6,7.6
2010,16,MIA,Michael Beasley,21,5,5,135,5.9,13.1,0.45,0.3,0.5,0.5,5.6,12.5,0.45,1.9,2.4,0.78,2.7,5.1,7.7,0.8,1.1,0.0,3.5,2.7,13.9
2010,16,MIA,Mario Chalmers,23,5,0,131,4.9,11.0,0.45,1.9,5.5,0.35,3.0,5.5,0.55,3.0,3.6,0.85,0.3,2.2,2.5,3.6,0.8,0.0,3.3,4.9,14.8
2010,16,MIA,Jermaine O'Neal,31,5,5,117,2.8,13.5,0.2,0.0,0.0,,2.8,13.5,0.2,0.9,2.2,0.43,3.1,5.5,8.6,1.5,1.2,3.1,2.2,4.0,6.5
2010,16,MIA,Carlos Arroyo,30,5,5,115,3.8,8.1,0.46,0.0,0.3,0.0,3.8,7.8,0.48,0.6,0.6,1.0,0.6,2.2,2.8,3.4,0.9,0.0,0.9,2.8,8.1
2010,16,MIA,Dorell Wright,24,5,0,112,2.9,8.0,0.36,0.6,2.6,0.25,2.3,5.5,0.41,1.6,1.6,1.0,0.6,5.5,6.1,2.9,0.6,0.0,1.9,1.0,8.0
2010,16,MIA,Joel Anthony,27,5,0,79,2.3,3.2,0.71,0.0,0.0,,2.3,3.2,0.71,1.4,1.8,0.75,2.7,1.4,4.1,0.5,0.9,2.3,0.5,4.1,5.9
2010,16,MIA,James Jones,29,1,0,9,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0
2010,16,MIA,Jamaal Magloire,31,1,0,5,0.0,14.4,0.0,0.0,0.0,,0.0,14.4,0.0,0.0,0.0,,0.0,7.2,7.2,0.0,0.0,0.0,7.2,7.2,0.0
